_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
herroepen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	0.05846849863421871	-0.5853104838728286	NA	LEMMAREL1	NA	LEMMAREL	173	weight	NA	NA	5000	nav	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	0.05364476396221319	-0.723410471529305	NA	LEMMAREL1	NA	LEMMAREL	173	weight	NA	NA	FOC	all	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	0.10535581234076705	-0.9261920782520964	NA	LEMMAREL1	NA	LEMMAREL	173	weight	NA	NA	FOC	nav	205	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-0.3181344357967238	-1.0169960350747145	NA	LEMMAREL2	NA	LEMMAREL	329	no	NA	NA	5000	all	232	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-0.290360137670528	-1.0265805959726888	NA	LEMMAREL2	NA	LEMMAREL	329	no	NA	NA	5000	nav	232	1	herroepen.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-0.19843240147822913	-0.9258878004325976	NA	LEMMAREL2	NA	LEMMAREL	329	no	NA	NA	FOC	all	232	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-0.18600447461301697	-0.9817789279827508	NA	LEMMAREL2	NA	LEMMAREL	329	no	NA	NA	FOC	nav	232	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.20882422174574855	-0.8577296258847695	NA	LEMMAREL2	NA	LEMMAREL	231	selection	NA	NA	5000	all	230	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-0.1958038036351115	-0.8940556925732371	NA	LEMMAREL2	NA	LEMMAREL	231	selection	NA	NA	5000	nav	230	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.10422099764820884	-0.7901480157286219	NA	LEMMAREL2	NA	LEMMAREL	231	selection	NA	NA	FOC	all	230	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.08486350934697362	-0.8847929878227638	NA	LEMMAREL2	NA	LEMMAREL	231	selection	NA	NA	FOC	nav	230	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	0.08619757582021415	-0.7001108128481196	NA	LEMMAREL2	NA	LEMMAREL	231	weight	NA	NA	5000	all	230	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	0.09849981165332916	-0.7416826439363362	NA	LEMMAREL2	NA	LEMMAREL	231	weight	NA	NA	5000	nav	230	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	0.11654654828950094	-0.8631781988231867	NA	LEMMAREL2	NA	LEMMAREL	231	weight	NA	NA	FOC	all	230	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	0.1247710636033011	-0.9735958793079542	NA	LEMMAREL2	NA	LEMMAREL	231	weight	NA	NA	FOC	nav	230	3	herroepen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
herroepen.bound10-10all.PPMIno.LENGTH5000.SOCPOSall	-2.1732527367642627	-0.08292195162384176	NA	NA	TRUE	BOW	940	no	all	10-10	5000	all	236	4	herroepen.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.bound10-10all.PPMIno.LENGTH5000.SOCPOSnav	-2.06500904484679	-0.13293083439774028	NA	NA	TRUE	BOW	940	no	all	10-10	5000	nav	236	4	herroepen.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.bound10-10all.PPMIno.LENGTHFOC.SOCPOSall	-1.6295029947370967	0.077310567036229	NA	NA	TRUE	BOW	940	no	all	10-10	FOC	all	236	4	herroepen.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.bound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.6073958557750094	0.02426074206295464	NA	NA	TRUE	BOW	940	no	all	10-10	FOC	nav	236	4	herroepen.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav
herroepen.bound10-10all.PPMIselection.LENGTH5000.SOCPOSall	-1.2619703796803885	-0.01789495860254003	NA	NA	TRUE	BOW	472	selection	all	10-10	5000	all	236	5	herroepen.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall
herroepen.bound10-10all.PPMIselection.LENGTH5000.SOCPOSnav	-1.2969894180700905	-0.0640761563839684	NA	NA	TRUE	BOW	472	selection	all	10-10	5000	nav	236	5	herroepen.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall
herroepen.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.798677011180854	0.11570727818536772	NA	NA	TRUE	BOW	472	selection	all	10-10	FOC	all	236	5	herroepen.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall
herroepen.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8606326267416631	0.0926932031157858	NA	NA	TRUE	BOW	472	selection	all	10-10	FOC	nav	236	5	herroepen.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall
herroepen.bound10-10all.PPMIweight.LENGTH5000.SOCPOSall	-0.19963123501838015	0.25380482435551155	NA	NA	TRUE	BOW	472	weight	all	10-10	5000	all	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.bound10-10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.19562504875113468	0.24772172979412668	NA	NA	TRUE	BOW	472	weight	all	10-10	5000	nav	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
herroepen.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.180912914330714	0.32824380407949094	NA	NA	TRUE	BOW	472	weight	all	10-10	FOC	all	236	2	herroepen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
