pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
0.7535043	2	NA	NA	7643	1980/noun
0.41288814	1	NA	NA	5361	1981/noun
0.28285405	1	1.194059	1	6105	1983/noun
0.29613796	2	0.5143937	1	12049	1989/noun
0.085713744	2	NA	NA	14872	1991/noun
-0.7132831	1	0.19811492	1	16536	1992/noun
1.6221874	1	NA	NA	1603	1992/num
-0.37102035	2	NA	NA	23494	1994/noun
-1.197579	1	NA	NA	26842	1995/noun
0.7780299	8	0.302867	2	29771	1996/noun
2.2716951	3	NA	NA	2511	1996/num
-0.4025778	3	NA	NA	36388	1997/noun
-1.1508222	2	-0.9333968	1	51305	1998/noun
-1.9323672	1	-1.0234406	1	56174	1999/noun
2.8652968	1	3.7735941	1	465	1e/num
4.8577633	1	NA	NA	63	1m70/noun
3.7784436	27	4.4211082	21	5194	1ste/num
8.990527	1	NA	NA	1	"2'00""58/num"
8.990527	1	NA	NA	1	"2'13""70/num"
4.6783867	1	NA	NA	75	2,09/num
7.044617	1	NA	NA	7	2,10m/noun
3.865076	1	NA	NA	170	2,60/num
-1.0835615	1	NA	NA	24044	2-0/num
0.46085215	1	NA	NA	5144	2-2/num
2.639541	79	NA	NA	45325	2./num
8.2973795	1	9.214658	1	2	2.03.01/num
8.990527	1	9.907805	1	1	2.03.76/num
7.891915	1	8.809193	1	3	2.04.94/num
8.375341	1	9.214658	1	2	2.05.45/num
7.891915	1	NA	NA	3	2.07.93/num
7.891915	1	8.809193	1	3	2.12.20/num
5.8187428	1	NA	NA	24	2.12/noun
7.891915	1	8.809193	1	3	2.16.71/num
8.990527	1	9.907805	1	1	2.25.40/num
7.381089	1	8.2983675	1	5	2.29.22/num
4.9768505	1	5.886928	1	56	2.40/num
8.2973795	1	NA	NA	2	2.44.62/num
8.990527	1	9.907805	1	1	2.58.49/num
-0.9481804	1	NA	NA	21190	2/noun
-1.9258769	2	-1.7110307	1	111933	2/num
6.687942	1	NA	NA	11	20-26/num
0.82841015	1	NA	NA	3566	20.00/noun
8.990527	1	NA	NA	1	20.05^^Verspringen/noun
