_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
horde.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-0.9439447116921684	-0.4419933617882005	LEMMAPATHweight	NA	NA	LEMMAPATH	536	selection	NA	NA	5000	nav	274	1	horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav
horde.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.33330671300982734	-0.1506112671303914	LEMMAPATHweight	NA	NA	LEMMAPATH	536	selection	NA	NA	FOC	all	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.34797605635258566	-0.10770294325979896	LEMMAPATHweight	NA	NA	LEMMAPATH	536	selection	NA	NA	FOC	nav	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.0565049307777012	0.30890005207086924	LEMMAPATHweight	NA	NA	LEMMAPATH	536	weight	NA	NA	5000	all	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.12433081336125196	0.3828371284891035	LEMMAPATHweight	NA	NA	LEMMAPATH	536	weight	NA	NA	5000	nav	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	0.03326618431444109	0.3896942378908478	LEMMAPATHweight	NA	NA	LEMMAPATH	536	weight	NA	NA	FOC	all	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	0.03024973283832311	0.45245816955553486	LEMMAPATHweight	NA	NA	LEMMAPATH	536	weight	NA	NA	FOC	nav	274	4	horde.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall
horde.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-1.7562363926211644	0.333234731163884	NA	LEMMAREL1	NA	LEMMAREL	232	no	NA	NA	5000	all	274	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-1.85978256018332	0.3176512491615084	NA	LEMMAREL1	NA	LEMMAREL	232	no	NA	NA	5000	nav	274	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-1.4927423626567669	0.6278822466628269	NA	LEMMAREL1	NA	LEMMAREL	232	no	NA	NA	FOC	all	274	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-1.5127667625883463	0.6846558609769622	NA	LEMMAREL1	NA	LEMMAREL	232	no	NA	NA	FOC	nav	274	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-1.4111063402831827	0.4079238460667042	NA	LEMMAREL1	NA	LEMMAREL	184	selection	NA	NA	5000	all	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-1.5327518951361194	0.4108780239097534	NA	LEMMAREL1	NA	LEMMAREL	184	selection	NA	NA	5000	nav	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-1.3166322041323084	0.65808109219235	NA	LEMMAREL1	NA	LEMMAREL	184	selection	NA	NA	FOC	all	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-1.320473577214884	0.7130314804609666	NA	LEMMAREL1	NA	LEMMAREL	184	selection	NA	NA	FOC	nav	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-0.9047316863767528	0.9894634985613012	NA	LEMMAREL1	NA	LEMMAREL	184	weight	NA	NA	5000	all	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-0.9891610116637456	0.9874475146618068	NA	LEMMAREL1	NA	LEMMAREL	184	weight	NA	NA	5000	nav	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-0.8695910238122374	1.1794884956041551	NA	LEMMAREL1	NA	LEMMAREL	184	weight	NA	NA	FOC	all	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8445544224592217	1.2460008067107775	NA	LEMMAREL1	NA	LEMMAREL	184	weight	NA	NA	FOC	nav	262	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-1.4719717774346808	0.2356749378454943	NA	LEMMAREL2	NA	LEMMAREL	312	no	NA	NA	5000	all	275	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-1.6026165552698073	0.2559597881868613	NA	LEMMAREL2	NA	LEMMAREL	312	no	NA	NA	5000	nav	275	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-1.0828401847938165	0.4669985891984935	NA	LEMMAREL2	NA	LEMMAREL	312	no	NA	NA	FOC	all	275	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-1.1053111686734125	0.5262249608728785	NA	LEMMAREL2	NA	LEMMAREL	312	no	NA	NA	FOC	nav	275	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-1.1675645276578053	0.34059157607634083	NA	LEMMAREL2	NA	LEMMAREL	249	selection	NA	NA	5000	all	264	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-1.3039006121031318	0.350241344825236	NA	LEMMAREL2	NA	LEMMAREL	249	selection	NA	NA	5000	nav	264	2	horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
