_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
haten.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.022373383667337	0.419910901557608	NA	NA	bound	374	lex	5_5	1	no	FOC	374	all	4_4	211	haten	NA	NA	BOW
haten.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.8836587570233416	0.48624864734602	NA	NA	bound	368	all	5_5	1	weight	5000	5000	nav	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.4510940707557548	-0.7356401553245986	NA	NA	bound	368	all	5_5	1	weight	5000	5000	all	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.7856442740238965	0.8175876077601831	NA	NA	bound	368	all	5_5	1	weight	FOC	180	nav	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.8408629850996177	0.7419467409007995	NA	NA	bound	368	all	5_5	1	weight	FOC	368	all	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.49380482371231016	-0.20889024123181968	NA	NA	bound	368	all	5_5	1	selection	5000	5000	nav	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.009850967288144965	-1.2243820542099286	NA	NA	bound	368	all	5_5	1	selection	5000	5000	all	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.48892584349929297	0.40033713301597973	NA	NA	bound	368	all	5_5	1	selection	FOC	180	nav	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.5155006007261814	0.32858621346848155	NA	NA	bound	368	all	5_5	1	selection	FOC	368	all	4_4	228	haten	NA	NA	BOW
haten.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.4051180983945383	-0.46731136173082155	NA	NA	bound	548	all	5_5	1	no	5000	5000	nav	4_4	229	haten	NA	NA	BOW
haten.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-0.21026441788422967	-1.6631859326178944	NA	NA	bound	548	all	5_5	1	no	5000	5000	all	4_4	229	haten	NA	NA	BOW
haten.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.39810200314675487	0.3775293218935386	NA	NA	bound	548	all	5_5	1	no	FOC	282	nav	4_4	229	haten	NA	NA	BOW
