_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
herstellen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	1.4112392440041581	0.6494721613604553	NA	NA	bound	379	all	5_5	1	selection	5000	5000	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.1961906818409921	0.3056223049481826	NA	NA	bound	379	all	5_5	1	selection	FOC	190	nav	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.22253960866436764	0.3398512387322971	NA	NA	bound	379	all	5_5	1	selection	FOC	379	all	4_4	238	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.7043795296402061	0.831368537890087	NA	NA	bound	643	all	5_5	1	no	5000	5000	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	1.2747224502569692	1.1970316051866992	NA	NA	bound	643	all	5_5	1	no	5000	5000	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.2779778855812792	0.6130534045529069	NA	NA	bound	643	all	5_5	1	no	FOC	327	nav	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.2659784498844378	0.6335161832855055	NA	NA	bound	643	all	5_5	1	no	FOC	643	all	4_4	239	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.561280207112234	-0.6270830943684086	NA	NA	bound	198	lex	3_3	1	weight	5000	5000	nav	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.6674536692931091	-0.9112048493335404	NA	NA	bound	198	lex	3_3	1	weight	5000	5000	all	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.45615361424687095	-0.5692271415465735	NA	NA	bound	198	lex	3_3	1	weight	FOC	133	nav	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.4730820573948947	-0.5607634141135753	NA	NA	bound	198	lex	3_3	1	weight	FOC	198	all	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.6191630277053839	-0.5278213400497948	NA	NA	bound	198	lex	3_3	1	selection	5000	5000	nav	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.6935317137939059	-0.8184717963175658	NA	NA	bound	198	lex	3_3	1	selection	5000	5000	all	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.46668562991282	-0.48660751783922634	NA	NA	bound	198	lex	3_3	1	selection	FOC	133	nav	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.4937893458062361	-0.48788578451698544	NA	NA	bound	198	lex	3_3	1	selection	FOC	198	all	4_4	210	herstellen	NA	NA	BOW
herstellen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2719792747180338	-0.74708004905747	NA	NA	bound	288	lex	3_3	1	no	5000	5000	nav	4_4	232	herstellen	NA	NA	BOW
