cw	pmi_4	raw_4	pmi_10	raw_10	freq
Chess/name			4.1097026	1	346
Chevrolets/noun			7.9972863	1	7
Child/name			2.4285603	1	1891
Chili/name			1.4573185	1	4945
Chinees/adj	1.354018	2.0	0.445531	2	27261
Chodorkovsky/name	8.2235985	1.0	7.304139	1	14
Chopin/det	6.319361	1.0	5.403632	1	94
Chris/name	0.8455215	1.0	0.63047105	2	22676
Christus/name			1.2225157	1	6189
Christusfiguur/noun			6.139873	1	45
Chrysler/name	3.2629416	1.0	2.3544173	1	2027
Chuck/name	4.0878606	1.0	3.175911	1	883
Châtel/name	5.034814	1.0	4.8238564	2	342
Citigroup/name			2.982659	1	1084
Citroën/name			2.0994067	1	2601
Clear/name	4.842847	1.0	4.623607	2	416
Clinic/name			4.302354	1	289
Coleman/name			3.0146098	1	1036
Collapse/noun			9.25005	1	2
Conen/name			5.6297164	1	76
Constance/name			4.1880875	1	319
Coo-Coo/noun			9.943196	1	1
Cooldown/name			7.069632	1	18
Coombs/name			4.4900146	1	236
Cooper/name	3.4361067	1.0	3.218463	2	1687
Coupé/name			4.2303715	2	617
Crawford/det	9.476361	1.0	8.556902	1	4
Cruiser/name	5.036287	1.0	4.8210196	2	342
Crystal/name			3.1410239	1	916
Cuba/name			0.87471354	1	8860
Cubisme/noun	10.862656	1.0	10.105716	1	1
Curso/name			8.333758	1	5
Curved/name			8.556902	1	4
Cyntha/name	8.916745	1.0	7.9972863	1	7
D'Huys/name	9.476361	1.0	8.556902	1	4
D'hont/name	6.3853188	1.0	5.4692745	1	88
DECOLLETE/name			9.943196	1	1
DEI/name			7.483608	1	13
DS/name	2.1700187	1.0	1.258254	1	6031
DSK/name	6.173604	1.0	5.2615285	1	110
Dafjes/name	8.665431	1.0	7.751543	1	9
Dalton/name	4.9447703	1.0	4.728668	2	376
Daniel/name			0.78774536	1	9664
Daniele/name			2.8678105	1	1195
Daniella/name			4.9255857	1	154
Danny/name			0.2093384	1	17267
Darwin/name			2.7664833	1	1331
Das/name			1.8264362	1	3402
Dave/name			1.1308368	1	6867
David/det	5.0083003	1.0	4.100522	1	356
David/name	0.14056472	1.0	0.33038104	3	45891
Davis/name			1.1541535	1	6654
De/name	-0.83723754	5.0	-0.5205965	17	609210
DeBlois/name			8.151437	1	6
DeBlois/noun			9.943196	1	1
Dee/name			4.1595254	2	667
Defensie/name			0.1702192	1	17890
Dehaene/name	1.9532684	1.0	1.0454595	1	7515
Delogu/noun	10.862656	1.0	9.943196	1	1
Demoiselles/noun	9.764044	1.0	8.895878	1	3
Den/name	-0.5904321	1.0	-0.8029401	2	94996
Dendooven/name			3.341627	1	747
Deserrano/name	6.9733896	1.0	6.08352	1	50
Design/name			2.1982803	1	2336
Destiny's/name			3.8581278	1	454
Devo/name			6.5759006	1	29
Devriendt/name			3.256774	1	816
DiFranco's/name			9.943196	1	1
Diddley/name	7.2619247	1.0	7.0376625	2	37
Didier/name	1.8338972	1.0	0.9243072	1	8422
Dijk/name			0.8904695	1	8713
Disco/name	4.196654	1.0	3.2873702	1	793
Dish/name			6.0202336	1	51
Djadin/name			9.25005	1	2
Doelen/name			2.7350774	1	1375
Doelenensemble/name			7.245197	1	15
Dogma-manifest/name	9.476361	1.0	8.556902	1	4
Dolmen/name	4.991595	1.0	4.0904193	1	364
Dona/name			5.779637	2	131
Donna/name	2.8816915	1.0	1.9741675	1	2974
Dooreman/name	7.2349873	1.0	7.020035	2	38
Dorrenboom/name			9.943196	1	1
Doubt-geluid/name	10.862656	1.0	9.943196	1	1
Douglas/name	2.2307062	1.0	1.32444	1	5686
Dowd/name			4.5704675	1	220
Downstairs/adj			8.004455	1	7
Dragomir/name	5.778925	1.0	4.860861	1	162
Dream/name			2.6387815	1	1515
Dreams/name			3.5903058	1	582
Drift/name			5.305317	2	208
Drongen/name	3.0153327	1.0	2.113228	1	2596
Duato's/det	10.169509	1.0	9.25005	1	2
Duinpad/name			7.6406116	1	10
Duinpad/noun	10.862656	1.0	9.943196	1	1
Duits/adj	-0.67812073	1.0	-0.19758698	4	104339
Duits/noun	2.7889023	1.0	1.8767064	1	3224
Duits_talig/adj	3.9024267	1.0	2.9905157	1	1060
Duitser/noun			0.4136863	2	27916
Duravit/name			7.2023563	1	16
Dynamite/name			4.267471	1	297
EO/name			2.5611966	1	1646
Eagles/name			2.649159	1	1508
Eastenders/name	6.9657464	1.0	6.0523973	1	50
Ed/name			1.3957069	1	5329
Eddie/name			1.961207	1	2985
Edelman/name			5.6170793	1	77
Ederveen/name	4.60188	1.0	3.6879265	1	529
Edgar/name			1.839415	1	3422
Edge/name			5.1204987	3	377
Eduardo/name			2.7691998	1	1328
Eggs/name	7.771613	1.0	6.8521543	1	22
Egyptenaar/noun			2.4703262	1	1791
Egyptisch/adj			1.4181641	1	5144
Eimers/name	5.8662887	1.0	4.9551477	1	150
Eindhoven/name	1.9882865	2.0	1.083691	2	14444
El/name			0.14809626	1	18229
Elantra/noun			6.4573517	1	34
Elevator/name			6.2418947	1	41
Elsschots/det	6.921074	2.0	6.009412	2	103
Emerson/name			3.4912264	1	648
Emmy/name	3.9155595	1.0	3.0065136	1	1051
Engeland/name			0.19985276	2	34599
Engels/adj			-0.5178991	1	35568
Engels/name			1.4340607	2	10037
England/name	3.4210422	1.0	2.5100324	1	1712
Enrique/name	3.6042435	1.0	2.693058	1	1431
Enzensberger/name	5.5637136	1.0	4.6526594	1	202
Erfdragers/name			7.4582896	1	12
Erlkönig/name			6.8589954	1	22
Escher/name			3.8112094	1	469
Estampie/name			9.943196	1	1
Ethiopiërs/adj	7.8795023	1.0	6.9830914	1	20
Europa/name			-0.5735081	3	112784
Europees/adj	-1.1468209	1.0	-1.3617151	2	165681
Evenkia/name			6.9987574	1	19
Every/name			4.9117785	2	310
Evreux-sur-L'Arbresle/adj			9.943196	1	1
Ex/name			3.492489	1	644
Extreme/name			4.0150714	1	383
F-117/noun			8.056127	1	7
F./name			0.50972056	1	12729
FC/name			-1.081215	1	63479
Fakesch/name			9.943196	1	1
Fargion/noun	10.169509	1.0	9.25005	1	2
Fassa/name			2.9898944	1	1064
Fassbender/name			7.9795866	2	15
Fat/name			3.546767	1	604
Fats/name			5.209193	1	115
Feitens/det	10.862656	1.0	9.943196	1	1
Femie/name			9.25005	1	2
Ferdinand/name			3.29184	3	2365
Fernand/name			2.199103	1	2367
Ferrari/name			1.3008696	1	5785
Ferron/name			4.4650607	1	243
Festival/name			0.61729777	1	11562
Fiat/name			1.6788074	1	4023
Fiat_model/noun	8.560071	1.0	7.6406116	1	10
Fifa/name			2.8024662	2	2591
Filipino/name	8.665431	1.0	7.745972	1	9
First/PIAS/name			8.844584	1	3
Flame/name			5.3893194	1	96
Flandrien/noun	5.917448	1.0	5.0188456	1	144
Flor/name			3.5946696	2	1167
Focus/det			7.0417747	1	19
Focus/name			1.8982495	1	3194
Ford/det			5.3628316	1	99
Ford/name	1.2770432	1.0	1.0617943	2	14754
Fords/det			5.286383	1	107
Fords/name			5.383547	1	97
Fortuyn/name	0.6822469	1.0	-0.21742435	1	26768
Fosse/name			4.1019735	1	349
Francisco/name			1.3524555	1	5463
Franck/name			2.3540883	1	2004
Frankenheimer/name			5.154872	1	124
Frankrijk/name			-0.59519786	2	76868
Frans/adj			0.25904205	6	98844
Frans/name	0.63068765	1.0	0.4153392	2	28106
Franz/name	2.7669046	1.0	2.954768	3	3315
Frederic/name	3.1620777	1.0	2.2527049	1	2230
FreeZone/name			9.943196	1	1
Freelance_choreograaf/noun			9.943196	1	1
Freeman/name			2.918859	1	1145
French/name			2.7369676	1	1377
Freriks/name			2.9889872	1	1067
Freya/name			2.527239	1	1706
Fries/noun			1.8615205	1	3283
Frits/name			1.3115948	1	5772
Fruitt(h)ree/name			7.8637547	1	8
Fun/noun			5.361807	1	104
Funky/name	5.6992993	1.0	4.7832794	1	176
Fusie/name			5.960715	1	67
Futura/name			4.7372684	2	373
Futura/noun	8.259966	2.0	8.033654	4	27
Futureheads/name			8.844584	1	3
G.T./name			6.334985	1	37
GAK-kantoor/name			9.943196	1	1
Galicische/adj	5.8528543	1.0	4.942275	1	152
Gardiner/name			3.6271155	1	563
Geert/name	1.2389772	2.0	0.7394411	3	30731
Gemeente/name			3.7553432	1	502
Gent/name			-0.68969303	2	86057
Gents/adj			-0.12788384	1	24287
George/name			0.5386595	2	24917
Georges/name			0.84044135	1	9183
Gergiev/name			4.3680053	1	270
Gerhard/name	2.591523	1.0	1.6859924	1	3965
Germann/name			7.221901	1	16
Germans/name			6.0951786	1	47
Gerrit/name	1.7337017	1.0	0.8362131	1	9359
Gert/name	1.4903985	1.0	1.2849813	2	12122
Get/name	3.7011306	1.0	2.7897928	1	1300
Geus/name	2.651648	1.0	1.743801	1	3707
Ghosts/name			4.911126	1	156
Gimme/name	5.857033	1.0	4.951744	1	153
Girl/name	3.3581266	1.0	2.4509656	1	1840
Glissando's/noun			9.943196	1	1
Godschalk/name	7.938151	1.0	7.0227265	1	19
Gogh/name	1.8488626	1.0	2.3274794	4	8280
GoldenEye/name			6.093049	1	47
Golf/name	2.1600416	1.0	1.2500185	1	6096
Goor/name	3.1744294	2.0	2.672559	3	4408
Goran/name			2.4117246	1	1923
Gordon/name			2.0216427	1	2804
Gosschalk/name			4.9616466	1	148
Gouda/name	3.23822	1.0	2.3364115	1	2074
Graef/name			3.2494392	1	818
Grahams/det	7.081311	1.0	6.1808343	1	44
Grard/name			5.381456	1	97
Gress/name			6.25682	1	41
Gress/noun			9.943196	1	1
Griek/noun			1.3889291	1	5260
Grieks/adj			0.43034333	1	13810
Groenen/name			1.6611056	1	4066
Grohl/noun			8.151437	1	6
Groningen/name			0.71957225	2	20921
Groninger/noun			2.9195712	1	1153
Gronings/adj			1.6244787	1	4244
Groot/name	2.2544343	2.0	1.3456453	2	11051
Grote/name			-0.25653076	1	27475
Grudge/name			8.556902	1	4
Grünewald/name			5.8128414	1	63
Guus/name	2.6214466	1.0	1.7165294	1	3887
Haag/name			-0.8153625	1	48237
Haags/adj	1.4961667	1.0	1.2838659	2	11853
Haagse/name			2.2114193	1	2319
