_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-0.8291094494440816	1.172012310631821	NA	LEMMAREL1	NA	LEMMAREL	151	selection	NA	NA	5000	nav	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-0.6197442142235746	1.2095460319546192	NA	LEMMAREL1	NA	LEMMAREL	151	selection	NA	NA	FOC	all	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7366231358394818	1.3820131226234909	NA	LEMMAREL1	NA	LEMMAREL	151	selection	NA	NA	FOC	nav	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-0.8939727191701025	1.1295944971183485	NA	LEMMAREL1	NA	LEMMAREL	151	weight	NA	NA	5000	all	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-0.942026909649532	1.1241483070352547	NA	LEMMAREL1	NA	LEMMAREL	151	weight	NA	NA	5000	nav	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-0.7550159424818156	1.2493940472834526	NA	LEMMAREL1	NA	LEMMAREL	151	weight	NA	NA	FOC	all	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9470565775677569	1.2916992486347638	NA	LEMMAREL1	NA	LEMMAREL	151	weight	NA	NA	FOC	nav	199	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-1.1164560584599232	0.3678645164084975	NA	LEMMAREL2	NA	LEMMAREL	362	no	NA	NA	5000	all	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-1.1711008287921192	0.3147716189283308	NA	LEMMAREL2	NA	LEMMAREL	362	no	NA	NA	5000	nav	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-1.0135552358773121	0.4487604274320351	NA	LEMMAREL2	NA	LEMMAREL	362	no	NA	NA	FOC	all	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-1.1414537680002417	0.43170167605115983	NA	LEMMAREL2	NA	LEMMAREL	362	no	NA	NA	FOC	nav	227	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.8723138797765199	0.5215690507855891	NA	LEMMAREL2	NA	LEMMAREL	220	selection	NA	NA	5000	all	220	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-0.9624214921811132	0.46168109535518087	NA	LEMMAREL2	NA	LEMMAREL	220	selection	NA	NA	5000	nav	220	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.8036039687175454	0.6249319544033454	NA	LEMMAREL2	NA	LEMMAREL	220	selection	NA	NA	FOC	all	220	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8936699662739759	0.6474446868860629	NA	LEMMAREL2	NA	LEMMAREL	220	selection	NA	NA	FOC	nav	220	4	helpen.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-1.058159304232115	0.538676812594357	NA	LEMMAREL2	NA	LEMMAREL	220	weight	NA	NA	5000	all	220	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-1.1586296678206267	0.4979339258662121	NA	LEMMAREL2	NA	LEMMAREL	220	weight	NA	NA	5000	nav	220	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.9694440316788924	0.6221670050915368	NA	LEMMAREL2	NA	LEMMAREL	220	weight	NA	NA	FOC	all	220	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0225724790239157	0.6273957930670663	NA	LEMMAREL2	NA	LEMMAREL	220	weight	NA	NA	FOC	nav	220	3	helpen.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall
helpen.bound10-10all.PPMIno.LENGTH5000.SOCPOSall	-0.7386292763318848	-1.487034569417474	NA	NA	TRUE	BOW	1026	no	all	10-10	5000	all	233	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
helpen.bound10-10all.PPMIno.LENGTH5000.SOCPOSnav	-0.8028459735463264	-1.3803889823472624	NA	NA	TRUE	BOW	1026	no	all	10-10	5000	nav	233	1	helpen.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall
