met	homogeneity	completeness	vmeasure	model	technique	homogeneity_rank	completeness_rank	vmeasure_rank
complete	0.05244496968785689	0.04325525250666314	0.04740888483919202	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	8	22	8
mcquitty	0.051603133806260526	0.043402132776867906	0.04714867176762464	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	4	30	4
average	0.02643994160199678	0.2053719930602547	0.046848524094415867	diskwalificeren.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	mds	97	6	12
single	0.02643994160199678	0.2053719930602547	0.046848524094415867	diskwalificeren.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	8	57	5
average	0.04585209241580076	0.047510637235848134	0.04666663319292142	diskwalificeren.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	mds	12	110	13
single	0.027235915769706073	0.15829311845878372	0.04647529222793209	diskwalificeren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	7	110	6
mcquitty	0.0413183617508892	0.05259109656233938	0.046278149010100016	diskwalificeren.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	mds	16	24	5
mcquitty	0.051778883786954714	0.041711859383013215	0.046203366157958385	diskwalificeren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	3	32	6
average	0.02648748429167092	0.17301367472392756	0.045941557573968624	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	mds	96	7	14
ward.D	0.0511768071178491	0.04146640394938812	0.045812707317506356	diskwalificeren.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	6	8	6
average	0.051270108799984275	0.04119959969415058	0.0456864846495948	diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	9	129	15
single	0.02630411787883597	0.17181594312525342	0.04562351534241408	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	10	91	7
single	0.02630411787883597	0.17181594312525342	0.04562351534241408	diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	11	92	8
ward.D2	0.05099870701817446	0.04094804735957612	0.045424060574838186	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	8	11	8
ward.D	0.05064360886451506	0.041059278942952464	0.04535059064686457	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	7	10	7
ward.D	0.05002229626815175	0.041157359512596366	0.04515888140890801	diskwalificeren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	11	9	8
complete	0.05016416704212457	0.040981499385604137	0.045110269338943514	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	9	27	9
single	0.02584463581920568	0.1749477840883299	0.04503617984406019	diskwalificeren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	12	88	9
ward.D	0.047367932668329664	0.042727467687149565	0.04492819399231508	diskwalificeren.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	15	7	9
ward.D	0.05008963472093406	0.04068134557737213	0.04489791193683254	diskwalificeren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	10	11	10
mcquitty	0.042734272859419	0.047103622737084766	0.04481269409414018	diskwalificeren.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	mds	15	26	7
single	0.024892550974222757	0.22418321366680516	0.044809595038752294	diskwalificeren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	14	17	10
single	0.02534604563453187	0.19072478864609696	0.04474568918803686	diskwalificeren.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	13	82	11
ward.D	0.0504399895678331	0.040161360369030986	0.044717625056482115	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	8	14	11
ward.D	0.050148578108558446	0.04017441880440126	0.044610786803717856	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	9	13	12
mcquitty	0.03967645537208883	0.05030163534052028	0.04436170125249298	diskwalificeren.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	23	25	8
ward.D	0.04885057151961173	0.04051594297757108	0.044294599185083806	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	13	12	13
single	0.024519846923472158	0.22594852372808513	0.044238904896335404	diskwalificeren.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	tsne.50	19	16	12
average	0.040880240258601305	0.048102763183226746	0.04419838485938416	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	mds	21	108	16
single	0.024519846923472158	0.22082662751657778	0.04413868278067432	diskwalificeren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	tsne.10	17	48	13
single	0.024519846923472158	0.22082662751657778	0.04413868278067432	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	tsne.30	18	49	14
ward.D	0.049306562305930314	0.03987677909005439	0.044093142553012915	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	12	15	14
single	0.03895808724752941	0.050634263405567044	0.04403532304016603	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	1	752	15
ward.D2	0.048297963439489805	0.04029116717697907	0.04393273318535865	diskwalificeren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	9	12	9
single	0.023319911271423636	0.3747513136199734	0.043907556417078254	diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	mds	26	1	16
single	0.023319911271423636	0.3747513136199734	0.043907556417078254	diskwalificeren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	mds	27	2	17
single	0.023319911271423636	0.3747513136199734	0.043907556417078254	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	mds	28	3	18
single	0.026418447430754853	0.12751120198430568	0.04376866963909493	diskwalificeren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	9	210	19
average	0.023669746101957646	0.27318893560719965	0.0435649225850955	diskwalificeren.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	mds	129	4	17
ward.D2	0.048142658338950595	0.03962584911398976	0.04347103011426924	diskwalificeren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	10	14	10
single	0.024617924535256054	0.1852457981648779	0.043460270512902015	diskwalificeren.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	15	86	20
single	0.024617924535256054	0.1852457981648779	0.043460270512902015	diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	16	87	21
mcquitty	0.04071118632431156	0.04627379434476448	0.04331462854879524	diskwalificeren.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	18	27	9
mcquitty	0.04071118632431156	0.04627379434476448	0.04331462854879524	diskwalificeren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	19	28	10
mcquitty	0.048340162720630624	0.03888757254846292	0.04310169418027035	diskwalificeren.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	5	42	11
ward.D	0.04726196397408306	0.039568126354007034	0.04307417751608783	diskwalificeren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	17	16	15
complete	0.04645548519913747	0.03988123306977562	0.04291805548655902	diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	10	29	10
ward.D2	0.04626021310016418	0.039939477352282635	0.04286810599267832	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	12	13	11
mcquitty	0.047264461552673845	0.03920044678218239	0.04285641528951208	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	tsne.50	6	39	12
mcquitty	0.044236808980959545	0.04138010509673856	0.042760798482300764	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	10	36	13
ward.D2	0.047942931971148794	0.03848232998373454	0.04269482525756436	diskwalificeren.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	11	15	12
ward.D	0.04751043717025434	0.038640167884795365	0.04261865061459702	diskwalificeren.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	tsne.50	14	17	16
ward.D	0.047285615232502444	0.03854236771451925	0.042468656662322836	diskwalificeren.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	16	19	17
average	0.0458229520052381	0.03951715876147755	0.042437087391660744	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	13	133	18
mcquitty	0.04466244525818598	0.04012485437711558	0.04227222991695494	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	9	38	14
ward.D	0.04664860340866483	0.038548071035580805	0.04221323636486855	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	19	18	18
average	0.04565099322534763	0.03852627297976448	0.04178711678546557	diskwalificeren.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	tsne.30	14	136	19
single	0.022662318814319883	0.26156151944371797	0.04171072053294835	diskwalificeren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	33	13	22
single	0.023136370740299155	0.20836699101341727	0.04164825873462387	diskwalificeren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	tsne.30	29	55	23
ward.D	0.04670664295152593	0.03739294889102581	0.041534068703389986	diskwalificeren.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	18	22	19
mcquitty	0.04614118738630656	0.03765785135346256	0.041470117127756	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.50	7	45	15
ward.D	0.04473267610918698	0.03840474193809359	0.04132788634827816	diskwalificeren.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	tsne.10	23	20	20
ward.D2	0.0454225185287628	0.03785254007785667	0.04129346125516892	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.20	13	17	13
complete	0.04148046223485938	0.0410812711577652	0.04127990163956334	diskwalificeren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	mds	17	26	11
mcquitty	0.04589957932995741	0.037501249986479794	0.041277565531060004	diskwalificeren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	8	47	16
ward.D	0.04460699064029272	0.038218423798286855	0.04116632278178696	diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	24	21	21
ward.D	0.04599410350291891	0.03724144430572001	0.04115757964213693	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	20	23	22
single	0.0236911528066593	0.1547483090651658	0.04109142448847361	diskwalificeren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.10	24	112	24
single	0.0236911528066593	0.1547483090651658	0.04109142448847361	diskwalificeren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	tsne.20	25	113	25
ward.D	0.04582602872536637	0.03683865056479287	0.040843781733195424	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	21	25	23
ward.D	0.045598737926062706	0.03695959480278852	0.04082715388163032	diskwalificeren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	22	24	24
mcquitty	0.04293832721833542	0.0387063617617929	0.04071266478003594	diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	14	43	17
complete	0.04534974278722031	0.036775359339875205	0.04061494095654097	diskwalificeren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	11	31	12
average	0.044773124560709664	0.0370664298144404	0.040556913873095596	diskwalificeren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	15	141	20
mcquitty	0.03938906384689156	0.04156921308321156	0.040449783525242686	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	mds	24	34	18
ward.D2	0.04282259968301307	0.03806604800182504	0.04030447242603759	diskwalificeren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	mds	18	16	14
single	0.02278323412406309	0.17144005718455468	0.04022132396955385	diskwalificeren.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	tsne.20	32	93	26
single	0.023035747803377058	0.15593382941088355	0.04014148576798127	diskwalificeren.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	30	111	27
complete	0.04396726283638513	0.036642220965575345	0.0399719259847976	diskwalificeren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	12	32	13
average	0.044196937490531024	0.036439150640135774	0.03994486588784888	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	16	144	21
ward.D2	0.04423471140302113	0.03627407333292169	0.03986082191046813	diskwalificeren.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	14	20	15
complete	0.04380094793223868	0.03633089540663318	0.03971773496605933	diskwalificeren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	13	33	14
ward.D2	0.043586878762958865	0.0364715238367198	0.03971300540982443	diskwalificeren.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	tsne.30	16	19	16
single	0.022056056034573866	0.19863763773211635	0.03970356192439787	diskwalificeren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	tsne.20	35	59	28
single	0.022056056034573866	0.19863763773211635	0.03970356192439787	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	36	60	29
mcquitty	0.03839644109112496	0.04057755747461225	0.039456880074238455	diskwalificeren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	mds	25	37	19
ward.D2	0.04310162000496395	0.03611399404351518	0.03929961704702604	diskwalificeren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	17	21	17
ward.D2	0.043832305874320125	0.03546664557699683	0.0392082071405803	diskwalificeren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.50	15	23	18
ward.D	0.04309561698751226	0.03586972015014927	0.0391520577780911	diskwalificeren.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	tsne.50	25	28	25
average	0.041573242330825724	0.03695546393425705	0.03912858190738052	diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.10	19	142	22
mcquitty	0.0438450365007118	0.03518353595804723	0.0390396376983705	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.10	11	50	20
complete	0.040048551910244326	0.03802928457784137	0.039012806861202905	diskwalificeren.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	mds	22	30	15
average	0.03388457640936035	0.045826378672638404	0.03896095406459307	diskwalificeren.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	tsne.20	47	116	23
average	0.039881859208748	0.03793629753611311	0.038884757504522846	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.10	22	138	24
complete	0.04337483457099936	0.03521155500971537	0.03886920831158401	diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.20	14	35	16
ward.D	0.04174775097262484	0.035985449787074346	0.03865302294685772	diskwalificeren.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	28	27	26
mcquitty	0.043141583021887725	0.03486792295454475	0.03856600228691949	diskwalificeren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.20	12	53	21
average	0.03676440350585583	0.040497306828419795	0.038540677463619985	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	30	130	25
mcquitty	0.04298275773808758	0.03492359401139975	0.038536328477098786	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	13	52	22
ward.D2	0.04143627406022466	0.03585636782367539	0.03844490879682339	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	22	22	19
ward.D	0.04217857905519068	0.035269929734745874	0.03841611782669464	diskwalificeren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	tsne.20	26	30	27
ward.D	0.04046361314249687	0.03656291455722321	0.03841449625700897	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	29	26	28
average	0.04237973459964337	0.03510182706980176	0.03839897088102739	diskwalificeren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.10	18	153	26
single	0.02174870563215679	0.16365540190490127	0.03839497634032286	diskwalificeren.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	38	108	30
single	0.02253545127553461	0.12884025424611917	0.03836115262862412	diskwalificeren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.50	34	209	31
average	0.04271022478671219	0.03481163347447837	0.03835854104214482	diskwalificeren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	17	154	27
ward.D2	0.03584450172202527	0.04119200314199369	0.03833265359489297	diskwalificeren.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	mds	49	10	20
ward.D	0.042025089119726716	0.03503052586869124	0.038210349025542614	diskwalificeren.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	tsne.10	27	31	29
ward.D2	0.04185159284388984	0.03506406416563366	0.038158341070412424	diskwalificeren.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	20	24	21
average	0.022295748313799553	0.1295812323259211	0.03804540398369138	diskwalificeren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	mds	150	26	28
complete	0.04278265101155329	0.034138837624658254	0.03797508347617368	diskwalificeren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.50	15	37	17
complete	0.04070800093038426	0.03557306010798414	0.037967698515469085	diskwalificeren.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.20	21	34	18
mcquitty	0.04055295093692382	0.03542213688480278	0.03781429466830096	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30	22	49	23
ward.D2	0.042404155816172795	0.033805745172170505	0.03761989104228888	diskwalificeren.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30	19	34	22
ward.D2	0.041647498353004735	0.034293320202761775	0.03761431661721622	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	tsne.10	21	28	23
mcquitty	0.021194460603321984	0.16462776966241705	0.03755413734226593	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	mds	188	4	24
ward.D2	0.040233554131747805	0.0348381306262973	0.03734195706196199	diskwalificeren.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	31	26	24
mcquitty	0.04068475502114108	0.03450101972794134	0.037338593378742284	diskwalificeren.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30	20	54	25
single	0.023916575512260157	0.08505070118687859	0.03733453893544415	diskwalificeren.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	tsne.10	22	389	32
average	0.041510157900069226	0.03378507089665592	0.037251327872881546	diskwalificeren.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.30	20	162	29
ward.D2	0.040928607074429066	0.03414530401216745	0.037230502877062366	diskwalificeren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	tsne.50	26	29	25
mcquitty	0.02061934544364943	0.19000569937376582	0.037201588776359464	diskwalificeren.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds	205	2	26
mcquitty	0.03360740952558909	0.041507266492614596	0.03714192158578973	diskwalificeren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	mds	44	35	27
complete	0.0419231815057908	0.03333834430072957	0.037141140688937375	diskwalificeren.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	tsne.20	16	41	19
ward.D2	0.04092307049677651	0.033979147655633826	0.03712923566836009	diskwalificeren.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	tsne.30	27	31	26
ward.D2	0.04085691389999475	0.03395659200709303	0.03708853205446725	diskwalificeren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30	28	32	27
ward.D2	0.03728257026665208	0.03688750595343508	0.03708398596192987	diskwalificeren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	tsne.50	44	18	28
ward.D2	0.04052306720477171	0.03409437088115132	0.03703178554402698	diskwalificeren.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	tsne.10	29	30	29
