measure	globqual	meanclassqual	classqual_herstructureren_2	classqual_herstructureren_3	classqual_herstructureren_1	model	technique
DR	1.135272647962324	1.0829785090081838	1.3202116760371267	0.8798186443738524	1.048905206613572	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.015387239642251102	-0.030516529083888518	0.16466210814301985	-0.22139209164944695	-0.034819603745238445	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.40450326849569984	0.36125551713234566	0.5495769086240156	0.1856825817303099	0.3485070610427114	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k21	0.46717521960240405	0.42925832461086827	0.5796676441837733	0.2612160566706021	0.4468912729782295	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.46619593998234776	0.43125517575345446	0.5548387096774193	0.26198347107438014	0.4769433465085639	herstructureren.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.1104738003350343	1.0479078881257227	1.3371226781563743	0.8100109699504201	0.9965900162703736	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.018865062455148632	-0.06457702684124746	0.1605290541918867	-0.22514177559089296	-0.1291183591247361	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.38895047865801724	0.351443355584308	0.5085805418328964	0.19323636025558832	0.3525131646644393	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k21	0.4495860126928088	0.4184549789866633	0.5587673974770749	0.29663518299881936	0.3999623564840956	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.46672550750220654	0.43873305282842445	0.5581622678396871	0.3227272727272727	0.4353096179183136	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.1067138630494044	1.0747915719849421	1.3014583604101584	1.0293520105019809	0.8935643450426872	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.004315332867333833	-0.024041033560002697	0.17970209867452228	-0.06210408597611166	-0.1897211133784187	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.36397605216823326	0.32698713804699914	0.5098503588864794	0.1977471776939311	0.2733638775605869	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k21	0.41808515109485983	0.3829755512784966	0.5469440953311921	0.2510822510822511	0.35090030742204653	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.4233009708737864	0.39121947512869354	0.5319648093841642	0.26198347107438014	0.37971014492753624	herstructureren.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.118715237437876	1.0636941714787245	1.3417606868455372	0.8887810983520958	0.9605407292385406	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.0153482642088294	-0.02986161373206113	0.19707654867002372	-0.1750697071779842	-0.1115916826882229	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.45698612532444843	0.4044550359142724	0.6332291645830721	0.2021610178370877	0.3779749253226574	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k21	0.47639760558420846	0.43982259860592055	0.6141717931191616	0.31345926800472257	0.39183673469387753	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.49899956502827314	0.46356780380703827	0.6141626794258374	0.32355371900826446	0.452987012987013	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.110582341883011	1.06001996239289	1.2983656943962636	0.882754808033239	0.9989393847491675	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.016771039625733786	-0.027431303771362093	0.17219695861680162	-0.19079988878247536	-0.06369098114841254	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.40983458518332105	0.3583485681857342	0.5696903365311181	0.1476934395756934	0.357661928450391	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k21	0.4602207999337186	0.42091444668341454	0.5970380496696286	0.27430145611963797	0.39140383426097713	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.46446280991735533	0.42486464094119597	0.5873684210526315	0.2628099173553719	0.4244155844155844	herstructureren.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.0891380204942558	1.0367338101009287	1.26633124654701	0.8362513462142628	1.0076188375415134	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	-0.017945787964041216	-0.055864524933689784	0.12052467488995285	-0.19106783382082385	-0.09705041587019836	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.3804209048546259	0.3410152011070112	0.5117697436101485	0.18844102723497116	0.322834832475914	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k21	0.4316162306592929	0.401923344370371	0.5507860560492139	0.30637544273907913	0.34860853432282	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.4507177033492823	0.4240642929638145	0.5479425837320574	0.32892561983471075	0.3953246753246753	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0873438205701593	1.0534109824314632	1.2621550359345868	0.9813586042234097	0.916719307136393	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	-0.00161673649162788	-0.03355312530434625	0.15864634599538868	-0.1054653745106834	-0.15384034739774405	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.35278685477797206	0.3295691182417231	0.4391174515234553	0.24826917193277181	0.30132073126894204	herstructureren.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
