measure	globqual	meanclassqual	classqual_herstellen_2	classqual_herstellen_3	classqual_herstellen_4	classqual_herstellen_5	classqual_herstellen_1	model	technique
SCP_k10_b0	0.43268304283892867	0.33321878045530284	0.559499954305529	0.04333262336723991	0.41137504627006916	0.4805648159389874	0.17132146239468868	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k14	0.45608933839022336	0.35871850305270936	0.5951845906902087	0.08444444444444445	0.4180451127819549	0.48095238095238096	0.21496598639455783	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.46814159292035395	0.37425920521426137	0.6004085801838611	0.10303030303030303	0.43636363636363634	0.49123376623376624	0.24025974025974026	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.2711268059182372	1.2404964764503896	1.189340942438806	0.9735917579171542	1.6954212101465023	1.3127798106127813	1.0313486611367046	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	-0.040411587428403166	-0.05778602089633435	-0.08344156478716906	-0.2552461966190888	0.24403663283761987	-0.061128830919262425	-0.13315014499377129	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.43750939934614774	0.34237673858255957	0.5282226540776347	0.04311146651150887	0.4417650655821198	0.5309141914558484	0.16787031528568597	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k14	0.4532237673830594	0.362440241856648	0.5697164258962012	0.10095238095238095	0.4598997493734336	0.48741496598639455	0.19421768707482992	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.4658889782783588	0.37672155874876156	0.5748723186925434	0.10545454545454545	0.48899521531100476	0.4987012987012987	0.21558441558441557	herstellen.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.2210422511766446	1.212223378727443	1.0668427592444427	1.044083411445531	1.6010601339429948	1.383191087126093	0.9659395018781536	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.0419755472895376	-0.044680529142363604	-0.12823321797766335	-0.14541200568872462	0.20522779354941398	0.0231568814173326	-0.17814209701217662	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.4079426337441528	0.3153787058955494	0.5013841442798227	0.043669310165025385	0.41732238118726955	0.4947164578573236	0.11980123598830585	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k14	0.44091866835229665	0.3506904487006709	0.5485286249331193	0.08507936507936507	0.45538847117794484	0.4872448979591837	0.1772108843537415	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.4437650844730491	0.3530655725114625	0.55097037793667	0.08727272727272728	0.4650717703349282	0.49058441558441557	0.17142857142857143	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.0840577869373713	1.065145761311482	1.0028325564025948	0.8714578236713442	1.3965005112886562	1.1452790685186098	0.909658846676205	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	-0.10443249378045596	-0.12003141620612641	-0.12840875601910134	-0.27956068675626344	0.1469670504985838	-0.1452989514706225	-0.19385573728322855	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.29778913637802445	0.2117367646388448	0.4457186489705475	0.02473939225352591	0.18520169530466807	0.3192126903943216	0.08381139627116095	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k14	0.3394858828487147	0.2501965896549828	0.51107544141252	0.07174603174603175	0.22581453634085213	0.3284013605442177	0.11394557823129252	herstellen.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
