cw	pmi_4	raw_4	pmi_10	raw_10	freq
1996/noun	0.3147879	3.0	-0.08445666	5	29771
1997/noun			-0.50737864	4	36388
1998/noun	-1.326941	1.0	-0.8501579	4	51305
1999/noun	-1.4169848	1.0	-0.7154122	5	56174
1999/num			0.288195	1	4135
2,15/num			3.1739757	1	231
2,2%/num			4.653554	1	52
2,2/num	1.2929502	1.0	1.0822912	2	3737
2,4/num			0.47377506	1	3427
2,47/num			3.8930287	1	112
2,5/num	1.0874578	3.0	0.69393086	5	13769
2,50/num			1.2185056	1	1628
2-6/num			0.743857	1	2601
2-LOKEREN/name			8.598044	1	1
2.000/num	0.6674405	1.0	-0.23779182	1	7000
2.054/num	7.7225018	1.0	6.857578	1	6
2.500/num	1.1066875	1.0	0.20236346	1	4511
2.760/num	6.518529	1.0	5.6098404	1	20
2/adj			3.6935103	1	136
2/name	-0.5755582	2.0	-0.77976954	4	49039
2/num	-0.49513707	5.0	-0.9320654	8	111933
20/adj	4.021714	1.0	4.209787	3	243
20/noun			-1.2627146	2	39184
20/num	0.32540455	8.0	0.2848087	19	78788
200.000/num	0.71758187	1.0	0.5067688	2	6664
200/num	0.6371669	4.0	0.42520747	8	28826
2000/name	-0.018452577	1.0	-0.22444382	2	13959
2000/noun	-0.14183623	4.0	-0.03666212	11	62906
2000/num	1.3313438	4.0	0.43064606	4	14445
2001/noun	-0.7045594	2.0	-0.5109369	6	55236
2001/num	0.8016245	1.0	0.59317774	2	6128
2002/noun	0.4588825	6.0	0.16052602	11	51756
2003/noun	1.2094707	9.0	0.9415985	17	36639
2004/noun	1.1345452	6.0	0.9257517	12	26354
2004/num	1.569902	1.0	1.7718062	3	2851
2005/noun	0.54150397	2.0	1.143305	9	15874
2006/noun			0.5297248	3	9767
2007/noun	1.8259202	2.0	1.6161327	4	4393
2007/num	4.019144	1.0	3.1226273	1	247
2008/noun	1.4803594	1.0	0.5776915	1	3106
2010/noun	1.0909116	1.0	0.185856	1	4579
2010/num	3.5020752	1.0	2.5972483	1	410
2011/noun			2.6351078	1	395
202/num	2.6881227	1.0	2.8804684	3	926
203/num	3.0195622	1.0	2.110969	1	665
20ste/num			0.325729	1	3978
21%/num	4.597021	1.0	3.694252	1	138
21.000_frank/noun			8.598044	1	1
21.316/num			8.598044	1	1
21/noun			-0.6279308	2	20754
21/num	0.10365012	3.0	0.40224013	10	36979
