_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
hoekig.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	nobound	791	all	10_10	1	weight	FOC	483	nav	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall					BOW	nobound	791	all	10_10	1	weight	FOC	791	all	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav					BOW	nobound	791	all	10_10	1	selection	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall					BOW	nobound	791	all	10_10	1	selection	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	nobound	791	all	10_10	1	selection	FOC	483	nav	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall					BOW	nobound	791	all	10_10	1	selection	FOC	791	all	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav					BOW	nobound	1653	all	10_10	1	no	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall					BOW	nobound	1653	all	10_10	1	no	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav					BOW	nobound	1653	all	10_10	1	no	FOC	906	nav	4_4	263	hoekig
hoekig.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall					BOW	nobound	1653	all	10_10	1	no	FOC	1653	all	4_4	263	hoekig
hoekig.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav					BOW	nobound	577	lex	5_5	1	weight	5000	5000	nav	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall					BOW	nobound	577	lex	5_5	1	weight	5000	5000	all	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	nobound	577	lex	5_5	1	weight	FOC	406	nav	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall					BOW	nobound	577	lex	5_5	1	weight	FOC	577	all	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav					BOW	nobound	577	lex	5_5	1	selection	5000	5000	nav	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall					BOW	nobound	577	lex	5_5	1	selection	5000	5000	all	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	nobound	577	lex	5_5	1	selection	FOC	406	nav	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall					BOW	nobound	577	lex	5_5	1	selection	FOC	577	all	4_4	258	hoekig
hoekig.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav					BOW	nobound	736	lex	5_5	1	no	5000	5000	nav	4_4	261	hoekig
hoekig.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall					BOW	nobound	736	lex	5_5	1	no	5000	5000	all	4_4	261	hoekig
hoekig.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav					BOW	nobound	736	lex	5_5	1	no	FOC	512	nav	4_4	261	hoekig
hoekig.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall					BOW	nobound	736	lex	5_5	1	no	FOC	736	all	4_4	261	hoekig
hoekig.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav					BOW	nobound	680	all	5_5	1	weight	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall					BOW	nobound	680	all	5_5	1	weight	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	nobound	680	all	5_5	1	weight	FOC	406	nav	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall					BOW	nobound	680	all	5_5	1	weight	FOC	680	all	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav					BOW	nobound	680	all	5_5	1	selection	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall					BOW	nobound	680	all	5_5	1	selection	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	nobound	680	all	5_5	1	selection	FOC	406	nav	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall					BOW	nobound	680	all	5_5	1	selection	FOC	680	all	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav					BOW	nobound	921	all	5_5	1	no	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall					BOW	nobound	921	all	5_5	1	no	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav					BOW	nobound	921	all	5_5	1	no	FOC	512	nav	4_4	263	hoekig
hoekig.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall					BOW	nobound	921	all	5_5	1	no	FOC	921	all	4_4	263	hoekig
hoekig.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav					BOW	nobound	411	lex	3_3	1	weight	5000	5000	nav	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall					BOW	nobound	411	lex	3_3	1	weight	5000	5000	all	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	nobound	411	lex	3_3	1	weight	FOC	285	nav	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall					BOW	nobound	411	lex	3_3	1	weight	FOC	411	all	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav					BOW	nobound	411	lex	3_3	1	selection	5000	5000	nav	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall					BOW	nobound	411	lex	3_3	1	selection	5000	5000	all	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	nobound	411	lex	3_3	1	selection	FOC	285	nav	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall					BOW	nobound	411	lex	3_3	1	selection	FOC	411	all	4_4	255	hoekig
hoekig.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav					BOW	nobound	462	lex	3_3	1	no	5000	5000	nav	4_4	258	hoekig
hoekig.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall					BOW	nobound	462	lex	3_3	1	no	5000	5000	all	4_4	258	hoekig
hoekig.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav					BOW	nobound	462	lex	3_3	1	no	FOC	323	nav	4_4	258	hoekig
hoekig.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall					BOW	nobound	462	lex	3_3	1	no	FOC	462	all	4_4	258	hoekig
hoekig.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav					BOW	nobound	487	all	3_3	1	weight	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall					BOW	nobound	487	all	3_3	1	weight	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav					BOW	nobound	487	all	3_3	1	weight	FOC	285	nav	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall					BOW	nobound	487	all	3_3	1	weight	FOC	487	all	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav					BOW	nobound	487	all	3_3	1	selection	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall					BOW	nobound	487	all	3_3	1	selection	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav					BOW	nobound	487	all	3_3	1	selection	FOC	285	nav	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall					BOW	nobound	487	all	3_3	1	selection	FOC	487	all	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav					BOW	nobound	573	all	3_3	1	no	5000	5000	nav	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall					BOW	nobound	573	all	3_3	1	no	5000	5000	all	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav					BOW	nobound	573	all	3_3	1	no	FOC	323	nav	4_4	263	hoekig
hoekig.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall					BOW	nobound	573	all	3_3	1	no	FOC	573	all	4_4	263	hoekig
hoekig.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav			selection2		LEMMAPATH	bound	326			1	weight	5000	5000	nav	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall			selection2		LEMMAPATH	bound	326			1	weight	5000	5000	all	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav			selection2		LEMMAPATH	bound	326			1	weight	FOC	203	nav	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall			selection2		LEMMAPATH	bound	326			1	weight	FOC	326	all	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav			selection2		LEMMAPATH	bound	326			1	selection	5000	5000	nav	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall			selection2		LEMMAPATH	bound	326			1	selection	5000	5000	all	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav			selection2		LEMMAPATH	bound	326			1	selection	FOC	203	nav	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall			selection2		LEMMAPATH	bound	326			1	selection	FOC	326	all	4_4	258	hoekig
hoekig.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav			selection2		LEMMAPATH	bound	421			1	no	5000	5000	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall			selection2		LEMMAPATH	bound	421			1	no	5000	5000	all	4_4	264	hoekig
hoekig.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav			selection2		LEMMAPATH	bound	421			1	no	FOC	249	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall			selection2		LEMMAPATH	bound	421			1	no	FOC	421	all	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav			selection3		LEMMAPATH	bound	483			1	weight	5000	5000	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall			selection3		LEMMAPATH	bound	483			1	weight	5000	5000	all	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav			selection3		LEMMAPATH	bound	483			1	weight	FOC	301	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall			selection3		LEMMAPATH	bound	483			1	weight	FOC	483	all	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav			selection3		LEMMAPATH	bound	483			1	selection	5000	5000	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall			selection3		LEMMAPATH	bound	483			1	selection	5000	5000	all	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav			selection3		LEMMAPATH	bound	483			1	selection	FOC	301	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall			selection3		LEMMAPATH	bound	483			1	selection	FOC	483	all	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav			selection3		LEMMAPATH	bound	695			1	no	5000	5000	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall			selection3		LEMMAPATH	bound	695			1	no	5000	5000	all	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav			selection3		LEMMAPATH	bound	695			1	no	FOC	413	nav	4_4	264	hoekig
hoekig.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall			selection3		LEMMAPATH	bound	695			1	no	FOC	695	all	4_4	264	hoekig
hoekig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav			weight		LEMMAPATH	bound	483			1	selection	5000	5000	nav	4_4	264	hoekig
hoekig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall			weight		LEMMAPATH	bound	483			1	selection	5000	5000	all	4_4	264	hoekig
hoekig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav			weight		LEMMAPATH	bound	483			1	selection	FOC	301	nav	4_4	264	hoekig
hoekig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall			weight		LEMMAPATH	bound	483			1	selection	FOC	483	all	4_4	264	hoekig
hoekig.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav			weight		LEMMAPATH	bound	695			1	no	5000	5000	nav	4_4	264	hoekig
