cw	pmi_4	raw_4	pmi_10	raw_10	freq
Appie/name			2.8888721	1	491
Arabier/noun	2.6842327	3.0	1.7737345	3	4456
Arabisch/adj			-0.64277893	1	16633
Arafat/name	0.39154908	1.0	-0.51569843	1	14737
Archeologisch/name			3.0751352	1	406
Ardennen/name	1.0757042	1.0	1.5533015	4	7407
Argentijns/adj	0.9807687	1.0	0.7707275	2	8234
Armani/name	3.6079473	2.0	2.6988876	2	1185
Armitage/name			3.488025	1	267
Armstrong/name			0.2669311	2	13580
Arnhems/adj			2.079504	2	2222
Arnold/name	2.2042081	2.0	1.2986518	2	4843
Arsbroek/noun			8.051994	1	3
Arsenal/name	1.073435	1.0	0.16756842	1	7501
Arsenals/det			5.6409626	1	31
Arte/name			1.2390094	1	2657
Arthur/name			0.27236006	1	6731
Artic/name	6.7980185	2.0	5.8991756	2	49
Artic/noun			6.8123035	1	10
Artwork/name			3.307853	1	330
Artwork/noun			5.8855414	1	25
Ask/name			4.2645044	1	123
Ass/name	5.459479	1.0	4.552736	1	93
Assebroekse/adj	6.7623916	2.0	5.8507376	2	51
Assepoester/name			3.408303	1	292
Aston/noun			5.9302773	1	23
Atrecht/name			6.5786886	1	12
Atron/name	8.594973	1.0	7.677301	1	4
Attached/name	8.035357	1.0	7.117685	1	7
Atte/name	5.276252	1.0	4.379614	1	114
Aubisque/noun			4.0847945	1	146
Austin/name			1.8743898	1	1347
Authentieke/name			6.923529	1	9
Award/name			0.9922361	1	3270
Awards/name	2.191709	1.0	1.2883403	1	2432
Axel/name	1.5523044	1.0	1.3404198	2	4654
Aziaat/noun			1.8995324	1	1304
Aznar/name			1.2331498	1	2554
Azzurri/name	4.568506	1.0	3.6597924	1	226
Azzuz/name			3.616427	1	238
B-Real/name	6.54728	1.0	5.629608	1	31
B-jatwerkje/name			9.063595	1	1
B./name	0.064030886	1.0	0.25469306	3	20405
BBC2/name			1.1943847	1	2697
BBC_voorbeeld/noun			7.964983	1	3
BB_huis/noun			4.4025173	1	107
BN'ers/noun			4.3786902	1	110
BTG/name			4.286575	1	122
BZN/name	4.493363	1.0	4.2756867	2	245
Ba/name			2.3829288	1	820
Baby/name	2.5303159	1.0	2.3156567	2	1739
Backstreet/name	3.8419216	1.0	2.9402256	1	475
Bad/name	3.489722	3.0	2.871386	4	1993
Badu/name			3.9898286	2	326
Bagdad/name			-0.083235435	1	9570
Bagnères/name			7.964983	1	3
Bakkati/name	6.155347	1.0	5.2425914	1	46
Balkt/name			3.83035	1	189
Ballack/name	3.520776	1.0	3.3070621	2	645
Balthazar/name	3.1596146	1.0	2.2558813	1	926
Baltisch/adj			2.019039	1	1164
Baluchistan/name			5.27374	1	45
Bamako/name			3.6237783	1	233
Bambi/name			3.1704328	1	375
Bambi_effect/noun			9.063595	1	1
Band/name			0.6300663	1	4666
Bangkok/name			1.6846495	1	1644
Bannerman/name			6.1191564	1	19
Barak/det	4.5374975	2.0	4.0315247	3	466
Barak/name			0.19127628	1	7259
Barcelona/name			-0.19862814	2	21572
Barend/name			0.61413497	1	4753
Barkley/noun			6.070366	1	20
Barnard/name			3.1953583	2	728
Baron/name			1.6319401	1	1720
Barroso/name			2.2883432	1	895
Barry/name			0.93870413	1	3460
Bart/name	-0.8262259	1.0	-1.036733	2	50275
Bartoli/name			1.8096826	2	2883
Barzini/name			7.271836	1	6
Basajev/name			2.9337828	1	464
Baskisch/adj	1.9368817	1.0	1.035613	1	3167
Basten/name	1.9771105	1.0	2.1696346	3	3020
Batasuna_leider/noun			6.76101	1	10
Baumeister/name	5.4260755	1.0	4.519237	1	96
Bayern-speler/name			7.4541574	1	5
Bayern/name	1.1185536	1.0	0.21380873	1	7166
Bayreuth/name			3.0810454	1	402
Bean/name			2.913419	1	480
Beate/name	4.201296	1.0	3.988734	2	327
Beckenbauer/name			2.3561828	1	837
Beckham/name			0.42725104	1	5794
Becky/noun	7.5389204	1.0	6.6212482	1	12
Beethoven/det			3.8623395	1	183
Beiroet/name			1.6254176	1	1721
Belg/noun			-1.5083599	1	40188
Belg_mop/noun			4.73352	1	78
Belga/name			-0.62104577	1	21075
Belgisch/adj			-0.9653837	6	139420
Belgisch_Nederlands/adj			2.3914356	1	820
België/name	-1.6930444	1.0	-1.2133253	4	118651
Belgrado/name			-0.16856046	1	10434
Bellone/name	5.6472497	1.0	4.732862	1	77
Ben-Liezer/name	9.981267	2.0	9.063595	2	2
Ben/name			0.028879875	2	17129
Bender/name			4.201073	1	130
Benno/name			3.158983	2	757
Berchem/name			0.16487448	1	7619
Berend/name			2.7387884	1	566
Berg/name			0.03472876	1	8483
Bergerac/name			3.4368737	1	282
Bergkamp/name			1.1020333	1	2933
Berlijner/noun	5.5010934	1.0	4.587395	1	89
Bernard/det			5.249185	1	46
Bernd/name	2.750704	1.0	1.8450885	1	1396
Bernhard/name			1.193267	2	5379
Bernlef/name			2.583934	1	662
Bertje/name			3.2596657	1	342
Best/name	3.1034129	3.0	2.4862905	4	2945
Besten/name	4.5486374	2.0	3.6404088	2	460
Bestraling/name	9.28812	1.0	8.532967	1	2
Bette/name			3.045367	1	416
Bezaz/name			5.097084	1	54
Big/name	1.2211573	2.0	1.0095452	4	12932
Bijlmercommissie/name			5.5746922	1	33
Bild/name	2.537311	1.0	2.3195949	2	1716
Bill/name	1.3266082	2.0	0.42042157	2	11631
Billy/name			0.8461432	1	3767
Bin/name	1.5219812	2.0	1.7130469	6	9515
Binnenlandse/name			-0.121545285	2	19849
Birger/name			2.236833	1	946
Biënnale/name			2.747424	1	569
Björks/name			7.4541574	1	5
Black/name			1.4195554	4	8474
Blair-jaren/name			8.370448	1	2
Blake/name			1.8893304	1	1328
Blanke/name			5.0508223	1	56
Blatter/name			1.3941	1	2213
Blauw/name			1.5741552	1	1835
Blauwsint/noun	9.28812	1.0	8.370448	1	2
Blok/name	-0.21189103	1.0	-1.118446	1	27014
Blonde/name			3.488025	2	536
Blue/name	2.4026742	3.0	1.7817624	4	5921
Blunt/name			4.160174	1	139
Board/name			2.1378036	1	1032
Bob/name			-0.53477246	1	15376
Bobby/name			1.0607673	1	3059
Boccaccio/name			3.4707444	1	277
Bock/name			1.1675076	1	3375
Bodil/name			4.642348	1	85
Boeck/name	1.6063291	1.0	0.7017818	1	4381
Boeckel/name	5.317828	1.0	4.400156	1	106
Boedapest/name			1.1308024	1	2841
Boeing/name			0.5052505	1	5371
Bohemen/name			3.411457	1	289
