	file	token_id	left	target	right	type
63	nrc_handelsblad_20010324_163		pijn . ' Wiens waarheid?Wiens pijn ? Ger van Dongen	diskwalificeert	NCRV-Dokument met de stelling dat in een documentaire de feiten	diskwalificeer/verb
64	parool_20040723_17		. Volgens PvdA'er Peter van Heemst combineert Remkes ' bestuurlijke	hardheid	en politieke intuïtie met een gebrek aan inhoudelijke kennis '	hardheid/noun
65	parool_20020823_94		te garanderen . Het baantje van krap tweehonderd meter met	hellende	bochten is voor specialisten . Arjan Smit won op vergelijkbare	hel/adj
66	de_morgen_20020617_01_55		Brugge kun je nu de tweede fase bekijken van het	drieluik	Onderstromen/Bovenstromen . Deze tentoonstelling is een initiatief van het Nicc	drieluik/noun
67	de_morgen_20020617_01_55		daarvoor inspiratie vond in een lapje Brugse kant . Het	drieluik	Onderstromen/Bovenstromen loopt als project nog tot 15 september . (	drieluik/noun
68	algemeen_dagblad_19990111_41		ZIT HET HEM in de kleurrijke	gewaden	van de priesters ? Is het de geur van wierook	gewaad/noun
69	algemeen_dagblad_20031006_104		ADO vestigt de aandacht op zich door een sportieve 1959	geste	. Als in de derby tegen SHS ( Scheveningen Holland	geste/noun
70	nrc_handelsblad_20001123_11		er wél werk voor ze is - zoals in de	huishouding	in Parijs , de bouw in Porto of de kassen	huishouding/noun
71	nrc_handelsblad_20010208_135		. Zo klinkt er op Oezbeekse exotiek : ` Elke	huurling	die men nog in leven zag , moest vluchten voor	huurling/noun
72	volkskrant_19990618_144		BMG en Sony , die dit jaar heel wat interessante	heruitgaven	op de markt brengen . Universal/Verve komt met titels als	heruitgave/noun
73	volkskrant_19990618_144		. Wellicht draagt die aangename naturel klank bij aan een	herwaardering	voor Ellingtons eerste soundtrack , die vroeger te boek stond	herwaardering/noun
74	het_nieuwsblad_20000520_01_681		en The Wall-producer Bob Ezrin ook nog eens de juiste	helper	gevonden zouden hebben ? Luister bijvoorbeeld naar die tweeëneenhalve minuut	helper/noun
75	het_nieuwsblad_19990426_01_289		TIENEN Het onderzoek zou zijn bevolen door Aminal . Vandermolen	hoedde	zich voor commentaar om het onderzoek niet te hinderen .	hoed/verb
76	nrc_handelsblad_20010419_73		de vorige eeuw volstrekt taboe en de vrouwen die niet	gehoorzaamden	, konden een pak slaag krijgen : met de schoen	gehoorzaam/verb
77	algemeen_dagblad_19990219_49		jaarlijks met 5 à 10 procent , met zelfs een	dip	in 1997 , zo meldde Storm gisteren . Dat betekent	dip/noun
78	nrc_handelsblad_20010326_122		Een recent gelanceerde aandachttrekker is de Beosound 1 , een	gestileerde	gettoblaster die maar één nadeel heeft : hij is afhankelijk	gestileerd/adj
79	de_standaard_20020408_01_31		dit expliciet extreem-rechtse gedachtegoed , maar begeeft zich op een	hellend	vlak . Als je aan de mensen zegt dat ze	hel/adj
80	het_laatste_nieuws_20010907_01_663		Een adembenemend schouwspel ... waar wij , brandweerlui , schier	hulpeloos	op toekeken . andquot; Beide mannen kijken uit naar de	hulpeloos/adj
81	parool_20020627_33		Het klonk aannemelijk . Ik had Ronaldo ook even zien	hinken	na dat schot . En kijk , daar kwam de	hink/verb
82	de_standaard_20040903_01_5		Saeed Shaheen , alias Stephen Cherono , die nu als	huurling	voor de sjeiks van Katar rent , stuitte op een	huurling/noun
83	nrc_handelsblad_20020129_99		De Groene van de jaren zeventig . Gisteren sloot een	drieluik	af over de veranderde wereld na 11 september . Is	drieluik/noun
