_model	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
blik.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	1242	lex	10_10	1	no	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	1242	lex	10_10	1	no	NA	NA	FOC	905	nav	4_4	NA	276	blik
blik.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	1242	lex	10_10	1	no	NA	NA	FOC	1242	all	4_4	NA	276	blik
blik.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	746	all	10_10	1	weight	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	746	all	10_10	1	weight	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	746	all	10_10	1	weight	NA	NA	FOC	429	nav	4_4	NA	276	blik
blik.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	746	all	10_10	1	weight	NA	NA	FOC	746	all	4_4	NA	276	blik
blik.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	NA	NA	BOW	NA	nobound	746	all	10_10	1	selection	NA	NA	5000	5000	nav	4_4	NA	276	blik
blik.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	NA	NA	BOW	NA	nobound	746	all	10_10	1	selection	NA	NA	5000	5000	all	4_4	NA	276	blik
blik.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	NA	NA	BOW	NA	nobound	746	all	10_10	1	selection	NA	NA	FOC	429	nav	4_4	NA	276	blik
blik.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	NA	NA	BOW	NA	nobound	746	all	10_10	1	selection	NA	NA	FOC	746	all	4_4	NA	276	blik
