_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hemels.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.9366650667326576	-0.2038630927346813	LEMMAPATHweight	NA	NA	LEMMAPATH	338	weight	NA	NA	5000	nav	201	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.9069383559987846	-0.10038647592574051	LEMMAPATHweight	NA	NA	LEMMAPATH	338	weight	NA	NA	FOC	all	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0062251792897123	-0.03173949855761939	LEMMAPATHweight	NA	NA	LEMMAPATH	338	weight	NA	NA	FOC	nav	201	1	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-0.7803904095677975	0.14328842554745785	NA	LEMMAREL1	NA	LEMMAREL	129	no	NA	NA	5000	all	165	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-0.7576757376958361	0.16887858455162302	NA	LEMMAREL1	NA	LEMMAREL	129	no	NA	NA	5000	nav	165	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-0.9459512694121722	0.1234040038386712	NA	LEMMAREL1	NA	LEMMAREL	129	no	NA	NA	FOC	all	165	3	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-0.9552890041854548	0.1503245977442174	NA	LEMMAREL1	NA	LEMMAREL	129	no	NA	NA	FOC	nav	165	3	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-0.616196805887245	0.02520717137904868	NA	LEMMAREL1	NA	LEMMAREL	119	selection	NA	NA	5000	all	158	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-0.6049848350867338	0.05790439736984282	NA	LEMMAREL1	NA	LEMMAREL	119	selection	NA	NA	5000	nav	158	2	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav
hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-0.7258649796506687	-0.01749551250850375	NA	LEMMAREL1	NA	LEMMAREL	119	selection	NA	NA	FOC	all	158	3	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7811707500829305	0.01179475002246936	NA	LEMMAREL1	NA	LEMMAREL	119	selection	NA	NA	FOC	nav	158	3	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall
