_id	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.x	hemels.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall.y	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	hemels.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.x	hemels.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav.y	hemels.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.x	hemels.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.y	hemels.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	hemels.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y
Nero/name	-22.32109556687204	-9.215744695870743	0	0	0	0	0	0	0	0	4.5978821213456165	-39.73375094346213	0	0	0	0
Netelenbos/name	4.248358611082896	-23.148201625063486	0	0	0	0	0	0	3.999829308140678	19.014019743635217	-28.4694554829306	37.30838553329381	0	0	0	0
Nieuwe/name	16.23181600658742	26.74939684778001	0	0	0	0	0	0	0	0	48.04604521491233	-11.099428164217958	0	0	0	0
Nina/name	6.641285846953106	18.65261086315075	0	0	0	0	0	0	24.723386852262784	-0.8841389235188317	9.529317993168394	-41.24691067343104	0	0	0	0
Oedipus/name	19.650103323790464	9.483270112227178	0	0	0	0	0	0	0.4444591004468379	-10.948409161096357	6.447920400718586	-30.005561433369394	0	0	0	0
Patrick/name	10.666243923486938	25.983707451395414	0	0	0	0	0	0	-19.852086503271888	24.356138813584302	51.96753112729646	9.811447834301447	0	0	0	0
Stem/name	15.536368371533982	10.522976300672417	0	0	0	0	0	0	-2.7266142949394117	-9.218664687593604	-10.956416997168756	-31.74250565786244	0	0	0	0
The/name	15.485646417634147	21.342506390296705	0	0	0	0	0	0	0	0	-6.3681684020206255	-43.72084048315948	0	0	0	0
Vierde/name	14.02109586386919	28.9319026794977	0	0	0	0	0	0	-25.199575073918844	-2.7355128591020508	-10.890353967188693	-45.776851496998546	0	0	0	0
Wilson/name	11.328252979559771	21.676851456464085	0	0	0	0	0	0	21.83300787523962	2.437548214748087	6.29249003659181	-44.25342485837364	0	0	0	0
aardappel/noun	-14.000553364280504	19.451494334702286	-5.4765574141141045	-6.071985015056505	-9.204968260757713	2.5537951275871418	17.914104165784966	14.074987304685049	-14.919334945469052	-27.42294992524212	20.626683244923896	40.958045601932845	-28.706661957628498	3.6566285243104852	18.93919693366158	-21.067506551811125
aards/adj	-10.053314193685699	-8.0711676444473	0	0	0	0	-3.5995855023592878	-10.372961476959635	-8.175390563276483	-9.134618261249477	32.770157706456786	-16.2014521083971	24.737553774330326	6.574359074512127	-12.522736647623564	-7.7684172315804885
afgezant/noun	-6.00395816266365	-30.986683143812034	1.2865033347610506	3.986603731401772	1.7142550696283771	10.730098647058556	5.868638755121388	-19.107211938846028	-17.496276173199522	9.969499888912578	51.12977719593236	-9.224814659878778	-11.173368560440778	-18.78703303312501	-24.192758149363275	6.282624384612262
al/det	-0.36783082828009217	-4.144908624987692	0	0	0	0	0	0	5.921497007077636	4.765680786228558	-9.097878279673816	6.209097426826756	0	0	0	0
alleen/adj	11.31927739506506	-3.7148308713791596	0	0	0	0	-9.329137767497715	9.899495747409336	7.941833370234026	10.02282703477642	-12.043754238457439	17.17829534840503	6.600366092479576	-7.6431666166723495	6.95326751688793	-11.275947366676164
allesbehalve/adv	3.0434940281881735	-6.591636005243919	0	0	0	0	-6.28198477577357	-16.284685528139896	15.938538519943059	10.00369266748875	-11.848548256995942	-13.783492665015716	0.9074331945802518	-0.4260299420932502	1.9507162763959192	-7.18795988327193
als/prep	-16.683413341192168	-8.341516184865908	0	0	0	0	0	0	0.19517323295088945	7.904465134234082	-3.3671276727928836	-4.055051450439061	0	0	0	0
alsof/comp	6.832022561377755	4.985333306620859	0	0	0	0	0	0	10.882206716896597	6.156322851023713	-1.5366329138584314	13.208824928474138	0	0	0	0
aria/noun	14.686805546883383	12.533831029137646	0	0	0	0	0	0	0	0	-8.105248859577701	-33.74550201612655	0	0	0	0
aureool/noun	21.9894935146477	16.65969916012724	1.4385465100594161	6.707141587797855	6.07483693951376	-9.197797835694484	6.210947472351369	-8.001836725471174	3.4497930029908677	-27.351498803259556	35.95214358379908	-10.153168219762934	-4.702532552475484	-18.011473228558245	-22.260976265122423	-6.092134952449874
baad/verb	-2.5522172556373004	8.975373338613045	0	0	0	0	0	0	0	0	12.208161318983105	-5.653653429538389	14.152042616045911	-11.826604010250403	3.758196562219447	12.836326753515454
bed/noun	9.74912266565587	-7.647626142915231	-1.9452555699128442	-4.26777706328256	-1.362056490154589	-8.15191978150733	-19.204416218879523	-3.6982142716845297	12.059555047570024	21.73421938774019	26.06591255163327	7.57266436789872	-18.525158828024217	4.864828847477602	11.666930386099281	23.102382802517027
begrip/noun	-6.554308883510874	-10.303524092647605	0	0	0	0	0.9451492063603624	-11.622742418347379	-11.30071669571645	-3.5283305343365585	25.421211200106782	-26.908230082921595	1.207752960071633	-7.686617394080466	-10.052523177882666	-0.7400300181456524
belofte/noun	-14.068997339536605	-26.094618813188905	-3.118125888022124	1.5749508147131803	-2.2044130222708587	3.9177030674662094	2.9509185418946506	-24.526407631524144	-8.532077472372215	25.574515660880127	-1.7186841177397805	55.616579602255804	-3.7890196948507673	5.104043841533853	-29.860661387967816	-6.301011352177891
beloon/verb	2.2979725072670982	-11.675916057211799	0	0	0	0	7.038122672021321	3.875773063030589	-2.277657331575556	7.586031813733456	-6.092973504557469	4.538845929070039	-13.452941665811199	6.624948102484192	-5.07453227149245	6.161332778476707
benader/verb	4.875510459180571	-4.3477847938310115	0	0	0	0	3.8420964421028185	5.511091667305017	-3.789386299328228	2.0103037467950013	-3.5492319220781945	-9.667211088180938	2.2507539685481053	-13.366970300171747	-5.880246405115611	-0.63546953145748
