measure	globqual	meanclassqual	classqual_heilzaam_1	classqual_heilzaam_2	model	technique
SCP	0.5541517266944717	0.5480956707994541	0.5125777213611079	0.5836136202378003	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6139924591537494	0.6043911556509982	0.5480808080808081	0.6607015032211883	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	tsne.30
DR	1.0606887608429887	1.0526045085517222	1.0051914613299695	1.1000175557734746	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
SIL	0.04275899517948864	0.03524140089652444	-0.008848273681941332	0.0793310754749902	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
SCP	0.5999981612703764	0.587135885849912	0.5117003786542157	0.6625713930456085	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
kNN	0.6433179723502304	0.6329467907420663	0.5721212121212121	0.6937723693629205	heilzaam.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	tsne.30
DR	1.0691314607782083	1.0753413802497156	1.1183672508737297	1.0323155096257015	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.04159104297016123	0.04537205399090371	0.07156905892033373	0.019175049061473687	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.6334545266973985	0.627094086302584	0.5830253207099404	0.6711628518952276	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6791002811621368	0.6733232685039914	0.6332968236582694	0.7133497133497133	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.061866024681011	1.0637058801198322	1.0764534499459513	1.0509583102937134	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SIL	0.03878946976634778	0.03910591483847026	0.041298427123890244	0.03691340255305026	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
SCP	0.63319768147039	0.628362321430571	0.5948601840118256	0.6618644588493164	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
kNN	0.6845360824742268	0.679510178305359	0.6446878422782037	0.7143325143325143	heilzaam.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	tsne.30
DR	1.0819587382724658	1.0873800864910457	1.124942284862636	1.0498178881194553	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SIL	0.04959800835867097	0.052420162152479494	0.07197365629529573	0.032866668009663265	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
SCP	0.6241547627832416	0.6189996513745613	0.5832820937572757	0.6547172089918467	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
kNN	0.6937207122774133	0.6886691730065224	0.6536692223439211	0.7236691236691236	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	tsne.30
DR	1.0879095616456744	1.0819525068906954	1.0406786275169106	1.12322638626448	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SIL	0.055347537020740745	0.049271427899877554	0.007172671848182587	0.09137018395157252	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
SCP	0.6296969594932239	0.6200073951162846	0.5528725562189183	0.6871422340136507	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
kNN	0.6743205248359887	0.6675438856161747	0.620591456736035	0.7144963144963145	heilzaam.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	tsne.30
DR	1.069452888595237	1.0734579010849377	1.1012069161921492	1.0457088859777262	heilzaam.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SIL	0.04255733820753039	0.044476274087206634	0.05777175839639206	0.03118078977802121	heilzaam.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
SCP	0.6210104776434779	0.6151699840446351	0.5747037069669381	0.6556362611223321	heilzaam.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
kNN	0.6853795688847235	0.680910373681458	0.6499452354874041	0.7118755118755119	heilzaam.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	tsne.30
DR	1.0789249683915336	1.0796996283587998	1.0850669152748593	1.0743323414427406	heilzaam.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	tsne.30
