measure	globqual	meanclassqual	classqual_staal_3	classqual_staal_1	classqual_staal_1b	classqual_staal_5	model	technique
SIL	0.01731877551526166	0.04071329174569037	-0.2885595878017343	0.07462087102920313	-0.1076531117458542	0.48444499550114684	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.7128308905951771	0.4596682954802387	0.4682714833174411	0.8384279852434389	0.036209179538298136	0.49576453382177654	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7250707769738911	0.4731089134442793	0.46396103896103896	0.8538359201773836	0.04615384615384615	0.5284848484848484	staal.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	1.4223050152927927	2.14792504429535	1.774282962097586	1.1131864751728604	1.040192483474206	4.664038256436748	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.08480604248088532	-0.03985615419574085	-0.23141192138111963	-0.07059241963519258	-0.3914357410405443	0.5340154652738931	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6596397745744182	0.4570521702889362	0.31380034629313214	0.791590229269313	0.027596562258591858	0.6952215433347079	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.690972003774772	0.477366119652705	0.3912337662337662	0.8163192904656319	0.04615384615384615	0.6557575757575758	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.0230274641384538	1.2361287800242788	1.2003050930947141	0.9204972208569491	1.309885222573608	1.513827583571844	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	-0.18607192669642114	-0.0974251541478721	-0.07357519033842834	-0.23746767429348667	-0.10308167662232125	0.02442392466274782	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.5669315697245386	0.26664941777252527	0.2547655002302171	0.7234458566659154	0.027919845961347067	0.06046646823262143	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6276816608996539	0.3506790871729896	0.349025974025974	0.7694013303769401	0.06853146853146853	0.21575757575757573	staal.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.7219380365833652	2.345726174673986	1.8470246326910427	1.4939845560530023	1.1899764224908647	4.851919087461034	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	-0.004457731901106436	0.03339457641875036	-0.2718821945368585	0.04325386195257605	-0.14805785341158847	0.5102644916708724	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.7102957733215105	0.4496634180879198	0.453037871394522	0.8431044347837171	0.047687105022987	0.4548242611504531	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7281355932203389	0.4859130170676781	0.4942989214175655	0.8499125874125874	0.06853146853146853	0.5309090909090909	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.7419037244570117	2.3316110517005413	1.968186081264853	1.5017486743239832	1.2363730536981479	4.620136397515181	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	-0.002954702551693779	0.03210675777793849	-0.2582719610088491	0.043037825144871256	-0.12981165600161648	0.4734728229773483	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.7184005200211586	0.46535104294481255	0.5033321765145875	0.8391292396813161	0.045734097791409245	0.47320865779193727	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7317719568567026	0.5019118910750267	0.5186440677966102	0.8453671328671328	0.10909090909090909	0.5345454545454545	staal.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	1.438045736694385	2.1585669601603223	1.9721301108397553	1.089813739693321	1.1991509612679792	4.373173028840235	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	-0.0904667965946163	-0.04405764087489031	-0.22884390474612273	-0.0762441734806034	-0.3700053738337329	0.4988628885608978	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6721894687530903	0.43020740880166725	0.39799406657768494	0.8032987239532332	0.032471949165274815	0.48706489551047594	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.692080123266564	0.4573361631306546	0.41417565485362096	0.8214160839160839	0.016783216783216783	0.5769696969696969	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0361110455714821	1.238432475806702	1.2453333463304748	0.926780470427962	1.1582440679762276	1.6233720184921439	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	-0.18563601599932875	-0.07505063000300874	-0.04516358819503187	-0.25205625762318684	-0.18723434111750367	0.18425166692368744	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.5879647503656193	0.30120337470009195	0.38003886388694874	0.7187195507819928	0.028592218049077998	0.07746286608234838	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6412942989214175	0.34700885978428353	0.40030816640986133	0.7812937062937063	0.02097902097902098	0.18545454545454546	staal.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.6122669613142209	1.7956880046801176	1.389528721825979	1.5982987034317837	1.3331489736947628	2.8617756197679447	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.09611704839720873	0.10022730477291289	-0.10972423020602866	0.13783488171342584	0.06579333264421112	0.3070052349400432	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.7184962781584525	0.4463904991078862	0.42794402507595236	0.8585143086193814	0.04599073877970025	0.4531129239565107	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7480429292929293	0.5103233425849834	0.5206611570247933	0.8640354767184035	0.08811188811188811	0.5684848484848485	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.6152982912892133	1.7894823135812317	1.3486263839623605	1.6105822179495501	1.0593538462446996	3.139366806168316	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.11279604605212692	0.05048338452369198	-0.13823703033362697	0.18186371561681605	-0.21581671887053286	0.3741235716821117	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6947266206956311	0.4675893753635118	0.34685741986470175	0.8326705244248186	0.02789609838628106	0.6629334587782458	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.7309343434343434	0.50490564867505	0.47140495867768595	0.8497560975609756	0.04755244755244755	0.6509090909090909	staal.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.7094637214383308	2.505253723954071	2.4156343652193493	1.303115326308969	1.103479135241544	5.198786069046422	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	0.0059197951978715805	0.04132316184990997	0.035803302443623106	-0.015232898228092817	-0.343814935792564	0.4885371789766736	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.7068875840073064	0.5183793590997293	0.477910374475289	0.8074986376640225	0.030146743527662535	0.7579616807319431	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.7357954545454546	0.5496549496327767	0.5355371900826447	0.8298891352549889	0.0853146853146853	0.7478787878787879	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.074882829328668	1.3913639061188705	1.6790750079880248	0.8534729382892506	1.6192190574772318	1.413688620720975	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.23023939058590573	-0.059032439819333746	0.02691336261232896	-0.3352335334566977	0.07458062365070722	-0.002390212083673454	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6029182224085954	0.2952052207277963	0.32846050433890445	0.7519370997900969	0.03916716183344887	0.06125611694873501	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6593434343434343	0.3929122023578786	0.4029752066115702	0.7908647450110865	0.033566433566433566	0.34424242424242424	staal.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
