measure	globqual	meanclassqual	classqual_heet_3	classqual_heet_1	model	classqual_heet_5	classqual_heet_7	classqual_heet_2	classqual_heet_6	technique
DR	1.107171605566285	1.2315685020210407	1.1561133709252789	1.0298379117406125	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	1.024334774572422	1.2940759037290341	1.3648555856817763	1.5201934654771208	mds
SIL	-0.19472583056679743	-0.12427180101774173	-0.2583174631014861	-0.20755348427826364	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.23873704477691646	-0.15697896803645012	0.1293201132034456	-0.013363959116779624	mds
SCP	0.5296635319703472	0.21369847786052024	0.34899950374381944	0.7334593025536785	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.04120469615011062	0.038579148851863206	0.04006458378879426	0.07988363207485531	mds
kNN	0.5485126494300806	0.2428766047970519	0.37417654808959155	0.7463682046596619	heet.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.09431818181818181	0.04090909090909091	0.11239669421487603	0.08909090909090908	mds
DR	1.0823569073463726	1.2196020434751682	1.1243562543773955	1.0070739351158082	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	1.0373817171103796	1.6119906863057811	1.1928638895656254	1.343945778376019	mds
SIL	-0.17308912882132682	-0.1288323364219963	-0.213445975866381	-0.18052775430605192	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.12653999676001865	0.0362456191979737	-0.1574290056494839	-0.13129690514801595	mds
SCP	0.4390611970265244	0.17322991856321218	0.23221460971437285	0.6263829912944975	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.034932345022373225	0.04198640959707382	0.026669940085025275	0.07719321566593049	mds
kNN	0.4780094523213789	0.20713274195266668	0.2426877470355731	0.6771128369118319	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.0625	0.07727272727272727	0.0859504132231405	0.09727272727272727	mds
DR	1.1244923419932766	1.2940868590933179	1.1780788348715132	1.0305810334952203	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.0143428799458492	1.623996083866511	1.4146616636699731	1.5028606587108397	mds
SIL	-0.1580626102199729	-0.14144946638434444	-0.21382197869728495	-0.1504403098889133	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	-0.2238816158028338	-0.03200431553097581	-0.17133265144594498	-0.05721592694011388	mds
SCP	0.4814303636266803	0.19615194333426766	0.285742922737879	0.674053666451921	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.04255915268123107	0.042797909598493916	0.028321546191636696	0.10343646234444431	mds
kNN	0.5161523491798721	0.23997095460534196	0.36231884057971014	0.6909090909090909	heet.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.1159090909090909	0.051515151515151514	0.0628099173553719	0.15636363636363637	mds
DR	1.37456059450751	1.4231681390047268	1.8528348284193978	1.2308186093113398	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	1.0653445342645727	1.1519706209204772	2.1962708787777285	1.0417693623348447	mds
SIL	-0.09969052694285743	-0.08786920363452391	0.01000632885398198	-0.12346319447236684	heet.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.35105441147419736	-0.08829840393978859	0.3544534408127821	-0.3288589815875547	mds
