measure	globqual	meanclassqual	classqual_hoekig_1	classqual_hoekig_2	model	classqual_hoekig_3	technique
kNN	0.7416267942583732	0.7373310269716189	0.7699788583509514	0.7046831955922865	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	NA	mds
DR	1.3689397305338156	1.375707519685227	1.3242723221344996	1.4271427172359545	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	mds
SIL	0.2281307226966049	0.23003426122577297	0.2155673684040956	0.24450115404745032	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	mds
SCP	0.8459181932023326	0.8451310250260538	0.85111350316577306	0.8391485468863346	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	mds
kNN	0.8301435406698564	0.8275994618489333	0.8469344608879492	0.8082644628099174	hoekig.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	NA	mds
DR	1.1744118228095375	1.1939145753419949	1.087732922665283	1.3000962280187065	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	NA	mds
SIL	0.10153069761712583	0.11330997539308371	0.04917835194620189	0.17744159883996555	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	NA	mds
SCP	0.594483622808129	0.5903563821536629	0.6128269146057561	0.5678858497015697	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	NA	mds
kNN	0.6343228200371057	0.6257523510971787	0.6724137931034483	0.5790909090909091	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	NA	mds
DR	1.2016724518473483	1.2132966820802848	1.1500092063676302	1.2765841577929398	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	NA	mds
SIL	0.12354425211299001	0.12987525697630256	0.09540645272048974	0.1643440612321154	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	NA	mds
SCP	0.6752546681066186	0.6707329417064187	0.695351229885285	0.6461146535275524	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	NA	mds
kNN	0.6656771799628942	0.6578840125391849	0.7003134796238244	0.6154545454545455	hoekig.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	NA	mds
DR	1.2420241150199298	1.2655036723848097	1.1376705267315756	1.3933368180380437	hoekig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	NA	mds
SIL	0.145360654825004	0.15934455446589493	0.08320998975437753	0.23547911917741235	hoekig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	NA	mds
SCP	0.6908347842789778	0.6810387321502148	0.7343727937401469	0.6277046705602828	hoekig.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	NA	mds
