measure	globqual	meanclassqual	classqual_blik_1	classqual_blik_3	classqual_blik_5	model	technique
kNN_k10	0.712943562014194	0.4099204606450983	0.8417508417508417	0.14848484848484847	0.23952569169960475	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0394283205223864	1.025235901913326	1.040914167913211	1.1383580830361055	0.8964354547906613	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.04410029751051549	-0.04352368894781174	-0.04925597253581315	0.09236531521175463	-0.1736804095193767	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6387876727753837	0.3263619674237281	0.7683718450961223	0.14559173154133634	0.06512232563372558	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6950321054410273	0.39111769872639435	0.8219696969696969	0.19090909090909092	0.16047430830039525	blik.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.0730650136967315	1.015150906963865	1.0962288658857091	1.0052721411388945	0.9439517138669908	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SIL	0.012997971995962684	-0.043140090895265264	0.035015703495007384	-0.04070143369273704	-0.12373454248806615	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.6586764949025886	0.31816489459931147	0.8010431655752591	0.08989549220269188	0.06355602601998332	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6871916187901318	0.377617235153467	0.81632996632996635	0.17818181818181816	0.1383399209486166	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.0575677468151992	1.0196848212412934	1.0729402853696988	1.0071423073267822	0.9789718710273994	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	4.029165834336535e-5	-0.037425727386800695	0.01497943999608673	-0.04254546763730368	-0.08471115451918514	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.652529228323906	0.3163681068490956	0.7934378813835062	0.0810645627894902	0.07460187637429039	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6823251098344035	0.36150612404235594	0.8170875420875421	0.1290909090909091	0.1383399209486166	blik.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	0.9896542165554789	1.0205870962499053	0.9795071952056121	0.9645122767853186	1.117741816758785	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.09571779996096029	-0.04949645228021767	-0.11164152106379625	-0.112288488121517	0.07544065234466023	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6301396291825716	0.3017886716096559	0.7676133555279294	0.07639489887930662	0.06135776042173156	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.6754984792159513	0.357200995461865	0.8101010101010101	0.10181818181818181	0.15968379446640316	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.0096467383029533	1.0397369745855127	0.9981955215563469	1.0287693852455826	1.0922460169546087	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	-0.06653530367188533	-0.02507225523161898	-0.08242115154090006	-0.03724697562310485	0.04445136146914797	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6451087720820271	0.3198145268182705	0.7813696736013045	0.09467290493611986	0.08340100191738715	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN_k10	0.6854342683338965	0.371754257551359	0.8178451178451178	0.12666666666666665	0.1707509881422925	blik.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.0258710196323693	1.022179783492475	1.027186447177097	1.027852933955687	1.0114999693446411	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	-0.017781245904806318	-0.03771076936647088	-0.009648954562948687	-0.040215669194585316	-0.06326768434187863	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.662708315475944	0.32488274593303257	0.8062402597935191	0.09967094110888347	0.06873703689669511	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.6945991278094599	0.3697467765209701	0.8331797235023042	0.13515151515151513	0.1409090909090909	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.0314599996212677	1.0576956852321342	1.0213986567020763	1.0402716361915316	1.1114167628027949	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	-0.035881047234462025	-0.0246526000293619	-0.03972369300299924	-0.047017308141050006	0.012783201055963552	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6573531606278654	0.32451719793035416	0.7990017062005752	0.09502316374250326	0.07952672384798404	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.6888292519288829	0.3632849229623423	0.8277335567658148	0.12727272727272726	0.13484848484848486	blik.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	mds
DR	0.9889914244202745	1.0198328231211498	0.9770999420632769	1.0014039891598614	1.080994538140311	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SIL	-0.08498028959038836	-0.04018069000766103	-0.10260499737179854	-0.05564738428108936	0.03771031162990482	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.6619835808241866	0.31714360597114016	0.8087143463243142	0.08022365547330701	0.06249281611579938	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.6871519624287151	0.36101335940045615	0.8269794721407624	0.10303030303030303	0.15303030303030302	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.0074805533674895	1.0544954711234915	0.9859651566111817	1.1353801359567015	1.0421411208025917	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	-0.08069437879986403	-0.018926800475831045	-0.10877979730269426	0.08150897648611218	-0.029509580610911055	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.6357488092432174	0.3303244391026958	0.7652857006050525	0.13407124545711122	0.09161637124592377	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k10	0.677960415967796	0.38714029697900665	0.8021784666945957	0.17212121212121212	0.1871212121212121	blik.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.0610061146924876	1.0649199492979409	1.0586687072118561	1.0817662984416487	1.054324842240318	blik.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.012240203328060141	-0.030213961483592174	0.026819652966259187	-0.03606201991327212	-0.08139951750376359	blik.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.7233400938627295	0.3520047605652593	0.8602460479408768	0.1468096809184268	0.0489585528364744	blik.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.7399930867611476	0.4211353848563151	0.8593657505285413	0.21515151515151515	0.18888888888888888	blik.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0138436504856274	1.053713753921311	0.9982951168392314	1.0896832790533841	1.0731628658713177	blik.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	-0.034418755194661095	-0.02656677280169533	-0.03722965257727012	-0.023607110598508778	-0.018863555229307095	blik.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.6934051043013764	0.33628535454900854	0.8253366679815322	0.134567474437809	0.04895192122768442	blik.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	mds
