measure	globqual	meanclassqual	classqual_geldig_1	classqual_geldig_2	model	technique
kNN	0.8193423597678917	0.6047265827151975	0.8962566844919786	0.3131964809384164	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
DR	1.1092371434107426	1.3396588612539573	1.026658261871556	1.6526594606363585	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
SIL	0.04261755227755826	0.17828058120262733	-0.0060015679152410585	0.3625627303204957	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
SCP	0.8132385956112594	0.585645172052819	0.8948038687940532	0.2764864753115848	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
kNN	0.831953578336557	0.622684146972572	0.906951871657754	0.33841642228739	geldig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	mds
DR	0.991501904056461	1.082876613719741	0.9587548982811815	1.2069983291583004	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
SIL	-0.0206164788187802	0.0513959664515693	-0.04642440718156441	0.149216340084703	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
SCP	0.7952840759549734	0.5384770126077347	0.8873189772701687	0.18963504794530084	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
kNN	0.7931914893617021	0.5538525674199298	0.8789661319073083	0.2287390029325513	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	mds
DR	1.0463092228928097	1.1597631118614184	1.005649447655505	1.313876776067332	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
SIL	0.013117561998198246	0.09912319556767721	-0.017705266217453174	0.21595165735280758	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
SCP	0.7544906652660439	0.5049447729621388	0.8439232971899868	0.16596624873429067	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
kNN	0.7931914893617021	0.5476352711172445	0.8811942959001783	0.21407624633431085	geldig.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	mds
DR	1.0454182924766686	1.2037234112439605	0.9886846660976392	1.418762156390282	geldig.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
SIL	0.009858870586475376	0.11854728047252097	-0.029093045095228823	0.26618760604027075	geldig.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
SCP	0.8077041116799368	0.5693157227771829	0.8931381007664729	0.24549334478789284	geldig.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
kNN	0.813926499032882	0.5851934908860905	0.8959001782531194	0.2744868035190616	geldig.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	mds
DR	1.1167026861506966	1.3245383003234799	1.0422182463893523	1.6068583542576076	geldig.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
SIL	0.05086781589550527	0.17147545666428615	0.007644268336751421	0.3353066449918209	geldig.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
SCP	0.8120620341509168	0.58642760274494	0.8929252407819606	0.2799299647079194	geldig.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	mds
