pmi10	raw_co10	pmi4	raw_co4	raw_freq	cw
3.3532982	1	NA	NA	25	057/23.94.80/num
3.7207968	1	NA	NA	17	057/23.95.60/num
3.3759563	1	NA	NA	25	058-33.05.31/num
6.55401	1	NA	NA	1	059/50.72.54/num
6.55401	1	NA	NA	1	06.17/noun
6.55401	1	NA	NA	1	07.03/noun
6.55401	1	NA	NA	1	0800-2020.1/num
6.55401	1	NA	NA	1	089/32.92.11/num
5.4553976	1	NA	NA	3	09-269.17.40/num
6.55401	1	NA	NA	1	09.17u./noun
6.55401	1	NA	NA	1	"1'43""05/num"
5.8608627	1	NA	NA	2	"1'45""78/num"
6.55401	1	NA	NA	1	"1'49""32/num"
-0.73015904	5	-0.74873364	2	7412	1,2/num
-2.0891547	1	NA	NA	5767	1,3/num
-0.53813756	4	NA	NA	4888	1,4/num
5.205937	1	NA	NA	4	1,5%/name
-0.317694	11	-0.4311003	4	10787	1,5/num
0.4271955	2	NA	NA	931	1,50/num
0.787879	1	NA	NA	324	1,55/num
-1.9071734	1	NA	NA	4810	1,6/num
1.669316	1	NA	NA	135	1,64/num
1.5618782	3	NA	NA	447	1,65/num
1.4065156	1	NA	NA	174	1,67/num
2.0464528	2	NA	NA	185	1,68/num
2.4180439	1	NA	NA	64	1,7%/num
-1.1350521	2	NA	NA	4438	1,7/num
0.50380504	1	NA	NA	427	1,70/num
-0.4990137	1	0.3993418	1	1175	1,75/num
-0.53352183	4	NA	NA	4868	1,8/num
6.55401	1	NA	NA	1	1--3-4's/noun
0.71046567	1	NA	NA	353	1-/num
-1.2295777	13	-2.1971645	2	31566	1-0/num
2.1839294	1	3.082181	1	80	1-0_nederlaag/noun
2.5009217	2	NA	NA	116	1-0_zege/noun
-1.9549291	1	NA	NA	5014	1-1/name
-2.7954574	1	NA	NA	11709	1-1/noun
-2.102858	2	NA	NA	11643	1-1/num
-0.48598325	5	NA	NA	5792	1-2/num
3.8196425	1	NA	NA	16	1-2_verlies/noun
2.943092	1	NA	NA	37	1-2_winst/noun
-0.46988243	3	-0.665925	1	3411	1-3/num
-0.7472052	1	NA	NA	1499	1-4/name
-0.21180715	2	NA	NA	1768	1-4/noun
-0.14629044	1	NA	NA	819	1-5/num
4.7622504	1	5.672448	1	6	1-EISDEN/name
1.4330267	1	NA	NA	178	1-team/noun
-0.17150365	1	NA	NA	863	1./tag
-0.56826884	7	NA	NA	8825	1.000/num
5.4553976	1	NA	NA	3	1.000m/noun
3.7296593	1	NA	NA	18	1.112/num
2.599886	1	NA	NA	54	1.190/num
-0.32020566	3	-0.5186354	1	2952	1.200/num
4.0566807	1	NA	NA	13	1.271/num
-0.80188656	1	NA	NA	1598	1.300/num
4.251425	1	NA	NA	10	1.33-29/num
0.8265111	1	NA	NA	312	1.350/num
2.2043774	1	NA	NA	78	1.40/noun
-0.78305703	1	NA	NA	1562	1.400/num
5.1677155	1	6.0779133	1	4	1.44,63/num
5.4553976	1	NA	NA	3	1.48.51/num
5.886181	2	NA	NA	4	1.49,09/num
5.4553976	1	NA	NA	3	1.491.000/num
-0.19169675	8	-0.678383	2	6921	1.500/num
0.766806	1	NA	NA	329	1.500_meter/noun
5.8608627	1	NA	NA	2	1.52.07/num
4.390687	1	NA	NA	9	1.572/num
6.55401	1	NA	NA	1	1.58,060/num
6.55401	1	NA	NA	1	1.58,62/num
-0.029606594	2	NA	NA	1467	1.600/num
5.8608627	1	NA	NA	2	1.602.143/num
1.28178	1	NA	NA	202	1.650/num
4.1884503	1	NA	NA	11	1.668/num
2.992964	1	NA	NA	36	1.68/num
4.3567853	1	NA	NA	9	1.6_wedstrijd/noun
2.3040872	1	NA	NA	71	1.70/num
4.251425	1	NA	NA	10	1.704/num
3.192767	2	NA	NA	58	1.75/num
0.8629752	1	NA	NA	302	1.750/num
-0.7478797	1	NA	NA	1507	1.800/num
5.1677155	1	6.0779133	1	4	1.838/num
6.55401	1	NA	NA	1	1.888.305/num
-0.38288078	53	-0.6320298	17	56531	1/name
-0.71746963	47	-1.2756581	11	69141	1/noun
-0.640047	87	-0.5978332	37	118827	1/num
0.4559358	1	NA	NA	455	1/tag
0.53341156	2	0.738424	1	841	10%/num
0.56667906	1	NA	NA	404	10,4/num
-0.27535114	1	NA	NA	940	10,5/num
4.1561146	1	NA	NA	11	10,83/num
1.5728036	1	NA	NA	148	10-/num
1.4082613	1	NA	NA	173	10-10/noun
3.1781304	3	NA	NA	90	10-10/num
2.335238	1	NA	NA	69	10-13/noun
0.48200294	1	NA	NA	439	10-15/noun
0.9059165	1	1.8077788	1	289	10-15/num
1.6655424	1	2.5729191	1	134	10-2/noun
2.587499	1	3.4939158	1	53	10-21/num
0.77852726	2	0.98071814	1	663	10-jarige/adj
0.19538821	1	1.0813347	1	614	10.00/num
-0.37712738	13	-0.9451683	3	13558	10.000/num
1.5096177	1	NA	NA	174	10.04/num
6.55401	1	7.4642076	1	1	10.08u./noun
2.1351695	1	NA	NA	84	10.20/noun
-0.30681083	3	-0.50817215	1	2910	10.30/noun
0.24773479	1	NA	NA	554	10.30/num
3.0335493	1	3.9378471	1	34	10.35/noun
2.6124282	1	NA	NA	52	10.55/noun
6.55401	1	NA	NA	1	10.971/num
-0.8106847	6	-0.31557295	4	9610	10/name
-0.9115212	12	NA	NA	21393	10/noun
-0.70728076	63	-1.0604396	18	91258	10/num
6.55401	1	7.4642076	1	1	100-procenter/name
-0.64253604	8	-1.132559	2	10904	100.000/num
7.247157	2	8.157354	2	1	100.000_ton/noun
-1.242089	1	NA	NA	2480	100/name
-0.39262462	41	-1.4157374	6	43355	100/num
0.937239	1	NA	NA	282	1000/name
-0.37826097	8	-1.5650454	1	8407	1000/num
0.261793	1	NA	NA	561	100ste/num
-0.71701586	2	NA	NA	2941	101/num
-1.1601318	1	-0.2635477	1	2290	102/num
6.55401	1	NA	NA	1	10314.50/num
3.9967828	1	NA	NA	13	1038/num
1.1434807	1	NA	NA	227	104/name
0.24862479	4	NA	NA	2228	104/num
0.008205538	3	-0.19059096	1	2123	106/num
2.7881696	1	NA	NA	44	1066/noun
0.076704435	3	NA	NA	1972	107/num
5.1677155	1	6.0779133	1	4	10864/num
-0.2715314	2	0.6298298	2	1869	109/num
5.8608627	1	NA	NA	2	1096-1099/noun
4.944572	2	5.8547697	2	10	10a/noun
0.675341	3	NA	NA	1097	10de/num
3.9149528	1	NA	NA	14	10procent/adj
1.5758979	1	NA	NA	149	10u/noun
1.2748755	1	NA	NA	201	11,50/num
1.362165	1	NA	NA	183	11-0/num
2.028966	1	2.9356487000000002	1	93	11-10/noun
1.6891716	1	2.5966733	1	130	11-11/noun
3.3153317	2	4.225529	2	51	11-14/noun
1.6565435	2	1.8625501	1	274	11-15/noun
1.1200697	1	2.025585	1	231	11-16/noun
1.8467346	1	2.7379267	1	114	11-2/num
5.0279536	1	NA	NA	5	11-24/noun
1.8732687	1	NA	NA	110	11-8/num
-0.047287975	1	0.8508234	1	754	11-jarige/adj
-0.92853105	1	-0.031681456	1	1814	11.000/num
-0.07429582	1	NA	NA	795	11.11.11/num
3.3759563	1	4.286154	1	24	11.11/num
0.49453646	1	1.3940475	1	433	11.15/noun
6.55401	1	7.4642076	1	1	11.20u./noun
3.100853	1	4.0063148	1	32	11.23/num
-0.5230448	2	NA	NA	2403	11.30/noun
1.0505095	1	NA	NA	252	11.500/num
3.4316452	1	NA	NA	23	11.52/num
1.2715681	1	NA	NA	202	11/9/num
-1.541337	2	-1.3336996	1	6645	11/name
0.048275843	54	-0.09914664	19	36830	11/noun
-0.43134543	37	-1.3505034	6	40771	11/num
0.37928692	2	NA	NA	981	110.000/num
0.6741757	1	NA	NA	364	110/name
-2.1479018	1	NA	NA	6110	110/num
1.0062481	4	0.516751	1	1049	1100/num
1.9772394	1	NA	NA	99	110de/num
1.1608372	1	NA	NA	223	111/name
1.7051097	2	NA	NA	261	112/name
-1.3127506	1	NA	NA	2650	112/num
3.5582778	1	NA	NA	20	1125/num
-0.08116519	4	NA	NA	3091	115/num
0.14784542	3	NA	NA	1841	116/num
4.1884503	1	NA	NA	11	1162/num
-0.2284654	2	NA	NA	1783	117/num
1.2479726	1	NA	NA	203	118/name
3.900768	1	4.7561574	1	15	11_juli/noun
6.55401	1	7.4642076	1	1	11_punt_plan/noun
0.06165661	2	0.26602408	1	1350	11de/num
2.3857956	1	NA	NA	66	11uur/noun
6.55401	1	NA	NA	1	11werp/noun
-1.066597	1	NA	NA	2075	12,5/num
1.7189194	2	2.621498	2	254	12-/num
1.4065156	1	NA	NA	172	12-12/noun
2.5613291	1	NA	NA	55	12-14/noun
3.0447059	2	NA	NA	69	12-8/num
-0.45053914	3	-0.6493687	1	3362	12.000/num
1.5070429	1	NA	NA	175	12.02/num
1.4907824	1	2.396877	1	161	12.10/num
0.6882505	1	NA	NA	359	12.15/noun
2.0519807	1	2.9560993	1	91	12.20/noun
-0.32429063	2	0.5753804	2	1975	12.30/noun
0.8187289	1	NA	NA	314	12.45/noun
-0.47958457	1	NA	NA	1154	12.500/num
2.943092	1	NA	NA	37	12.55/noun
6.55401	1	NA	NA	1	12.674/num
5.8608627	1	NA	NA	2	12/13-6-'90/num
-1.031271	3	-1.2299595	1	5996	12/name
-0.36801785	18	-0.9766983	4	18653	12/noun
-0.5597603	46	-1.0027487	12	57411	12/num
-1.0182357	1	NA	NA	1980	120.000/num
-0.05403421	17	-0.19568083	6	12795	120/num
5.8608627	1	NA	NA	2	1200-1250/noun
1.4155681	1	NA	NA	173	1200/noun
0.2351771	4	NA	NA	2274	1200/num
-0.7807108	1	NA	NA	1551	121/num
4.3293867	1	NA	NA	10	1222/num
2.6838512	1	NA	NA	48	123,95/num
-0.89601135	1	0.0032859072	1	1751	124/num
-1.4441237	2	NA	NA	6058	125/num
2.9323394	1	NA	NA	38	1250/noun
0.36471978	1	1.2634449	1	497	1250/num
0.22206348	1	NA	NA	571	125_cc/noun
1.8051726	1	NA	NA	119	125ste/num
-0.10155897	2	NA	NA	1573	127/num
4.5324626	1	NA	NA	8	1275/noun
0.81235397	5	NA	NA	1595	12de/num
1.3903676	2	NA	NA	357	13,4/num
-0.15346332	1	NA	NA	835	13,5/num
6.55401	2	7.4642076	2	2	13,727/num
2.4798682	1	NA	NA	60	13-12/num
1.7165384	1	2.6229777	1	127	13-13/noun
0.49632874	3	NA	NA	1328	13-jarige/adj
-0.18662748	1	NA	NA	863	13.00/noun
-0.8153071	1	0.08293928	1	1623	13.000/num
4.8402123	1	NA	NA	6	13.08,71/num
3.5384753	1	NA	NA	21	13.11/num
-1.1532325	2	NA	NA	4509	13.30/noun
2.757398	1	NA	NA	48	13.33/num
2.8163404	1	NA	NA	44	13.400/num
-0.6138569	4	NA	NA	5263	13/name
-0.47580057	18	-2.4698637	1	20739	13/noun
-1.1941466	17	-1.518523	5	40176	13/num
-0.36106834	1	NA	NA	1029	130.000/num
-0.42563942	6	-1.3190545	1	6560	130/num
2.3415122	2	NA	NA	137	1300/noun
0.7186147	3	NA	NA	1045	1300/num
1.8184698	2	NA	NA	230	1302/noun
1.9685326	1	NA	NA	101	1302/num
0.05904668	2	0.26733384	1	1342	134/num
-1.310064	1	NA	NA	2636	135/num
0.06545125	2	0.27353162	1	1334	137/num
4.251425	1	NA	NA	10	1396/noun
4.944572	1	NA	NA	5	13_graad/noun
1.0332351	7	0.67742014	2	1791	13de/num
5.1677155	1	6.0779133	1	4	13de/prefix
1.6625338	1	NA	NA	136	13e/num
0.7400288	1	NA	NA	341	14,4/num
1.1553196	3	0.9548798	1	675	14,5/num
3.7577455	6	3.9702284	3	99	14-13/noun
2.3519328	2	NA	NA	134	14-14/noun
2.6104884	1	NA	NA	52	14-21/num
1.1873333	1	2.0802863	1	219	14-25/noun
5.1677155	1	NA	NA	4	14-26/num
2.5259833	1	3.429967	1	57	14-6/noun
-0.1353715	2	NA	NA	1660	14-jarige/adj
0.62985456	4	NA	NA	1526	14.000/num
1.266501	1	NA	NA	214	14.05/num
3.5835955	1	NA	NA	20	14.13/num
-1.2171625	1	NA	NA	2382	14.15/noun
1.6528177	1	NA	NA	137	14.20/noun
-1.1379588	3	-1.33617	1	6653	14.30/noun
4.7622504	1	NA	NA	6	14.31/noun
3.9149528	1	NA	NA	14	14.31/num
6.55401	1	NA	NA	1	14.397/num
4.0691032	1	NA	NA	12	14.43/num
1.0920869	2	NA	NA	481	14.45/noun
5.4553976	1	6.3655953	1	3	14.58/noun
-0.86805475	3	NA	NA	5078	14/name
-1.0639523	12	-1.0423946	5	24865	14/noun
-1.438453	16	-1.5193785	6	48120	14/num
0.5773261	16	0.49631807	6	6410	140/num
5.4553976	1	NA	NA	3	141,6/num
0.1817574	2	1.0821801	2	1187	141/num
-0.03556956	2	NA	NA	1482	144/num
-0.27370042	2	-0.064258516	1	1868	145/num
2.176996	2	2.3719923	1	164	1450/num
0.6823854	4	NA	NA	1438	147/num
0.26624444	2	0.4722261	1	1094	148/num
1.592215	1	NA	NA	144	1492/noun
6.55401	1	7.4642076	1	1	14B/noun
3.278124	3	3.7690976	2	81	14de-eeuwse/adj
0.1468826	3	NA	NA	1856	14de/num
1.7450831	1	NA	NA	126	14e/num
-1.0937998	1	NA	NA	2103	14u30/noun
0.29787624	1	1.189681	1	535	15,5/num
0.9423429	1	NA	NA	275	15-/num
0.56529933	1	1.464341	1	409	15-12/noun
1.5853548	3	1.3851329	1	440	15-13/noun
1.8453811	1	2.7445934	1	113	15-17/noun
1.339618	1	2.2404792	1	188	15-4/noun
2.4333482	2	2.6358938	1	127	15-5/num
1.6708294	1	2.5719805	1	134	15-7/num
0.50912327	1	NA	NA	428	15-9/noun
0.3675957	4	-0.12367289	1	2009	15-jarige/adj
1.0503058	1	NA	NA	249	15-jarigen/adj
0.057092644	9	-0.5491976	2	6093	15.000/num
2.8768659	3	3.3709054	2	121	15.10/noun
1.0918746	1	NA	NA	237	15.20/noun
3.2830162	4	3.899381	3	108	15.35/num
4.6081	1	NA	NA	7	15.43/noun
1.2526972	2	2.1534677	2	407	15.45/noun
1.9379	1	NA	NA	105	15.50/noun
3.4629676	1	NA	NA	22	15.53/num
-1.2132327999999999	2	NA	NA	4779	15/name
-0.86013603	18	-1.2467332	5	30549	15/noun
-0.51419616	56	-0.80616313	17	66844	15/num
-1.7602711	1	NA	NA	4163	150.000/num
-0.040442143	30	-0.34548587	9	22300	150/num
1.1696297	2	NA	NA	441	1500/noun
-1.064069	3	NA	NA	6208	1500/num
5.0499325	2	5.266983	1	9	1500_meter_loop/noun
4.0242896	1	NA	NA	13	1504/num
1.6524459	1	NA	NA	137	152/name
3.7814214	1	NA	NA	16	1525/num
1.1556212	1	NA	NA	222	153/name
0.40869847	2	0.615937	1	946	153/num
3.1346455	1	NA	NA	32	1532/noun
0.6176949	4	0.82441354	2	1536	155/num
2.0006597	1	2.9063911	1	96	1550/noun
2.583718	1	NA	NA	53	1555/noun
3.2959135	1	4.206111	1	26	1558/noun
5.8608627	1	NA	NA	2	1560-1614/num
-0.28493088	1	NA	NA	945	157/num
3.0174081	1	NA	NA	35	1571/noun
2.5970137	1	NA	NA	53	1596/noun
5.637719	2	NA	NA	5	15a/noun
1.797837	1	NA	NA	118	15de-eeuwse/adj
0.30930933	4	-0.1802331	1	2109	15de/num
-0.9616068	1	NA	NA	1862	15u/noun
6.55401	1	7.4642076	1	1	15u37/noun
1.3932321	1	2.2908869	1	178	16,9/num
1.8413317	2	2.74181	2	226	16-14/noun
3.5582778	1	4.4684753	1	20	16-15/num
2.1321619	1	3.0378652	1	84	16-17/noun
2.2526515	1	NA	NA	76	16-18/noun
1.2100025	1	2.1017425	1	217	16-jarig/adj
0.221939	5	NA	NA	2896	16-jarige/adj
