_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
spoor.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.45989313943198434	-1.4101597118212383	NA	NA	BOW	BOW	bound	1362	all	10_10	1	no	FOC	1362	all	4_4	NA	358	spoor
spoor.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8460634411767224	0.25688936177701127	NA	NA	BOW	BOW	bound	326	lex	5_5	1	weight	5000	5000	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-1.1780334363358167	-0.42843034114503287	NA	NA	BOW	BOW	bound	326	lex	5_5	1	weight	5000	5000	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7369540729762345	0.25008307514841766	NA	NA	BOW	BOW	bound	326	lex	5_5	1	weight	FOC	233	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7342484164853911	0.22354839959914816	NA	NA	BOW	BOW	bound	326	lex	5_5	1	weight	FOC	326	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9558895028886163	0.33278149016701114	NA	NA	BOW	BOW	bound	326	lex	5_5	1	selection	5000	5000	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-1.2752369334798046	0.2832268545950352	NA	NA	BOW	BOW	bound	326	lex	5_5	1	selection	5000	5000	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8308251799487325	0.21247618611179594	NA	NA	BOW	BOW	bound	326	lex	5_5	1	selection	FOC	233	nav	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8382052201828178	0.19350184261051515	NA	NA	BOW	BOW	bound	326	lex	5_5	1	selection	FOC	326	all	4_4	NA	331	spoor
spoor.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.533329052039047	0.5041923657810297	NA	NA	BOW	BOW	bound	593	lex	5_5	1	no	5000	5000	nav	4_4	NA	350	spoor
spoor.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.9951527169601688	0.42014016579841473	NA	NA	BOW	BOW	bound	593	lex	5_5	1	no	5000	5000	all	4_4	NA	350	spoor
spoor.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.4215963308412933	0.4541849312724934	NA	NA	BOW	BOW	bound	593	lex	5_5	1	no	FOC	450	nav	4_4	NA	350	spoor
spoor.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.4337156385476162	0.41511577869581456	NA	NA	BOW	BOW	bound	593	lex	5_5	1	no	FOC	593	all	4_4	NA	350	spoor
spoor.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.4677593602016627	0.009948969287248961	NA	NA	BOW	BOW	bound	463	all	5_5	1	weight	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.8141319644943764	-0.6526622326528451	NA	NA	BOW	BOW	bound	463	all	5_5	1	weight	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.1377120218885007	0.1719248034220787	NA	NA	BOW	BOW	bound	463	all	5_5	1	weight	FOC	233	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.1350259328705615	0.0943579038448961	NA	NA	BOW	BOW	bound	463	all	5_5	1	weight	FOC	463	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.6161363852010857	-0.4404549500866621	NA	NA	BOW	BOW	bound	463	all	5_5	1	selection	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.9608473609813285	-0.8957417222265539	NA	NA	BOW	BOW	bound	463	all	5_5	1	selection	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.20485660167592806	-0.1521028028012471	NA	NA	BOW	BOW	bound	463	all	5_5	1	selection	FOC	233	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.1981232118114816	-0.25032138169529716	NA	NA	BOW	BOW	bound	463	all	5_5	1	selection	FOC	463	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.47926614296189923	-0.7336755143189808	NA	NA	BOW	BOW	bound	843	all	5_5	1	no	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.7979383193588871	-1.4408584141250729	NA	NA	BOW	BOW	bound	843	all	5_5	1	no	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.09171964156344015	-0.45384148278659175	NA	NA	BOW	BOW	bound	843	all	5_5	1	no	FOC	450	nav	4_4	NA	358	spoor
spoor.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.016219395786560013	-0.6377072605297041	NA	NA	BOW	BOW	bound	843	all	5_5	1	no	FOC	843	all	4_4	NA	358	spoor
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.607410183991545	0.690510223915459	NA	NA	BOW	BOW	bound	221	lex	3_3	1	weight	5000	5000	nav	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.6826554047968695	1.2181844620590159	NA	NA	BOW	BOW	bound	221	lex	3_3	1	weight	5000	5000	all	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.48578405019430415	0.6198340825541825	NA	NA	BOW	BOW	bound	221	lex	3_3	1	weight	FOC	168	nav	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.4970809014202496	0.613420149335062	NA	NA	BOW	BOW	bound	221	lex	3_3	1	weight	FOC	221	all	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.7285068774683705	0.6498647666375938	NA	NA	BOW	BOW	bound	221	lex	3_3	1	selection	5000	5000	nav	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.8318448905389141	1.016123352423232	NA	NA	BOW	BOW	bound	221	lex	3_3	1	selection	5000	5000	all	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5670807381491227	0.565218131255735	NA	NA	BOW	BOW	bound	221	lex	3_3	1	selection	FOC	168	nav	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.5810530773780664	0.5713447911839075	NA	NA	BOW	BOW	bound	221	lex	3_3	1	selection	FOC	221	all	4_4	NA	301	spoor
spoor.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.3421739999238125	1.2371101740210912	NA	NA	BOW	BOW	bound	358	lex	3_3	1	no	5000	5000	nav	4_4	NA	334	spoor
spoor.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-1.4127893987315505	1.61301663618676	NA	NA	BOW	BOW	bound	358	lex	3_3	1	no	5000	5000	all	4_4	NA	334	spoor
spoor.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.1261560472684387	1.197644986729603	NA	NA	BOW	BOW	bound	358	lex	3_3	1	no	FOC	278	nav	4_4	NA	334	spoor
spoor.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-1.1423225845288978	1.213104187343527	NA	NA	BOW	BOW	bound	358	lex	3_3	1	no	FOC	358	all	4_4	NA	334	spoor
spoor.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.7695736047974101	0.5868911383432303	NA	NA	BOW	BOW	bound	328	all	3_3	1	weight	5000	5000	nav	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.3330603217079298	0.5580340884491417	NA	NA	BOW	BOW	bound	328	all	3_3	1	weight	5000	5000	all	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.47489851542553413	0.6804124888523263	NA	NA	BOW	BOW	bound	328	all	3_3	1	weight	FOC	168	nav	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.4639410122854389	0.6286024273794208	NA	NA	BOW	BOW	bound	328	all	3_3	1	weight	FOC	328	all	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.9491354114265307	0.020360512341070287	NA	NA	BOW	BOW	bound	328	all	3_3	1	selection	5000	5000	nav	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.3956488569376	-0.3159940710241963	NA	NA	BOW	BOW	bound	328	all	3_3	1	selection	5000	5000	all	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.5076266345431035	0.395650420335271	NA	NA	BOW	BOW	bound	328	all	3_3	1	selection	FOC	168	nav	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.512097520987238	0.315554124276199	NA	NA	BOW	BOW	bound	328	all	3_3	1	selection	FOC	328	all	4_4	NA	356	spoor
spoor.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	1.0055738451761416	-0.119133310063466	NA	NA	BOW	BOW	bound	536	all	3_3	1	no	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.50044399096282	-0.6183618697493892	NA	NA	BOW	BOW	bound	536	all	3_3	1	no	5000	5000	all	4_4	NA	358	spoor
spoor.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.46759651644580463	0.47753562380634024	NA	NA	BOW	BOW	bound	536	all	3_3	1	no	FOC	278	nav	4_4	NA	358	spoor
spoor.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.42889673756494917	0.44967387519375823	NA	NA	BOW	BOW	bound	536	all	3_3	1	no	FOC	536	all	4_4	NA	358	spoor
spoor.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.325338063766981	-0.14588361546883222	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	weight	5000	5000	nav	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.5969404154056581	-0.6768040625020635	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	weight	5000	5000	all	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.3650740215795172	-0.08836929054882615	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	weight	FOC	387	nav	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.3306731454957448	-0.10241541071189492	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	weight	FOC	559	all	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.7236828296303666	-0.05340697137952004	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	selection	5000	5000	nav	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-2.051188601084774	-0.3583943627831323	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	selection	5000	5000	all	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.7032032563525363	-0.10521939558612793	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	selection	FOC	387	nav	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.690950598998744	-0.1338567777723222	NA	NA	BOW	BOW	nobound	559	lex	10_10	1	selection	FOC	559	all	4_4	NA	353	spoor
spoor.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-2.6425044722913253	-0.4526272026138744	NA	NA	BOW	BOW	nobound	1431	lex	10_10	1	no	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-2.983198128568747	-0.9315877074595991	NA	NA	BOW	BOW	nobound	1431	lex	10_10	1	no	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-2.5234607295250053	-0.5309319846912268	NA	NA	BOW	BOW	nobound	1431	lex	10_10	1	no	FOC	1039	nav	4_4	NA	358	spoor
spoor.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-2.5180083182844317	-0.5725188965217647	NA	NA	BOW	BOW	nobound	1431	lex	10_10	1	no	FOC	1431	all	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.020164541070047975	-0.45321806058273106	NA	NA	BOW	BOW	nobound	775	all	10_10	1	weight	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.22839303871516767	-1.2516174419787356	NA	NA	BOW	BOW	nobound	775	all	10_10	1	weight	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.31454255029802425	-0.2986640527724511	NA	NA	BOW	BOW	nobound	775	all	10_10	1	weight	FOC	387	nav	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.30866294946901185	-0.3612778252462619	NA	NA	BOW	BOW	nobound	775	all	10_10	1	weight	FOC	775	all	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.02824066260296347	-1.3011162728426007	NA	NA	BOW	BOW	nobound	775	all	10_10	1	selection	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.26681906466575483	-2.0894994095436594	NA	NA	BOW	BOW	nobound	775	all	10_10	1	selection	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4212884374620566	-0.9832676623592693	NA	NA	BOW	BOW	nobound	775	all	10_10	1	selection	FOC	387	nav	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.41437281191863456	-1.0646841670799028	NA	NA	BOW	BOW	nobound	775	all	10_10	1	selection	FOC	775	all	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.8242795472364309	-2.0112512354467915	NA	NA	BOW	BOW	nobound	1966	all	10_10	1	no	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.8524388261143399	-2.9795782528120247	NA	NA	BOW	BOW	nobound	1966	all	10_10	1	no	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.0673906279623282	-1.8471565924434978	NA	NA	BOW	BOW	nobound	1966	all	10_10	1	no	FOC	1039	nav	4_4	NA	358	spoor
spoor.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-1.1763363410304666	-1.9692373245394157	NA	NA	BOW	BOW	nobound	1966	all	10_10	1	no	FOC	1966	all	4_4	NA	358	spoor
spoor.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.0292989010274551	0.2623997447752967	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	weight	5000	5000	nav	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-1.348480673456401	-0.4374547496806077	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	weight	5000	5000	all	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.900515393984918	0.2906723199374521	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	weight	FOC	249	nav	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.899559584669909	0.21773001037934064	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	weight	FOC	363	all	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.1671218814062674	0.40113464396848264	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	selection	5000	5000	nav	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-1.5231377198300975	0.29589343380220867	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	selection	5000	5000	all	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0607328411584962	0.3018785156419787	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	selection	FOC	249	nav	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.065159002798084	0.2567531020586788	NA	NA	BOW	BOW	nobound	363	lex	5_5	1	selection	FOC	363	all	4_4	NA	336	spoor
spoor.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.8806658863636194	0.5221054728708998	NA	NA	BOW	BOW	nobound	703	lex	5_5	1	no	5000	5000	nav	4_4	NA	355	spoor
spoor.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-2.3941511995498224	0.4624480800623264	NA	NA	BOW	BOW	nobound	703	lex	5_5	1	no	5000	5000	all	4_4	NA	355	spoor
spoor.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.7819126775277427	0.4915360239771031	NA	NA	BOW	BOW	nobound	703	lex	5_5	1	no	FOC	517	nav	4_4	NA	355	spoor
spoor.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.8143950086200369	0.4354757766321018	NA	NA	BOW	BOW	nobound	703	lex	5_5	1	no	FOC	703	all	4_4	NA	355	spoor
spoor.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.38660277689400924	-0.01630513027003557	NA	NA	BOW	BOW	nobound	525	all	5_5	1	weight	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.7350635754186171	-0.8127332456484693	NA	NA	BOW	BOW	nobound	525	all	5_5	1	weight	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.0439266469913815	0.13066640822417072	NA	NA	BOW	BOW	nobound	525	all	5_5	1	weight	FOC	249	nav	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.018141751760818992	0.030133064171872323	NA	NA	BOW	BOW	nobound	525	all	5_5	1	weight	FOC	525	all	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.559913957086931	-0.5803954003207159	NA	NA	BOW	BOW	nobound	525	all	5_5	1	selection	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.9415444075676507	-1.1433537380198073	NA	NA	BOW	BOW	nobound	525	all	5_5	1	selection	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.08743512046053291	-0.2238990967638983	NA	NA	BOW	BOW	nobound	525	all	5_5	1	selection	FOC	249	nav	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.07860094636217811	-0.35588573589315636	NA	NA	BOW	BOW	nobound	525	all	5_5	1	selection	FOC	525	all	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.28703317603531225	-0.9858912191920682	NA	NA	BOW	BOW	nobound	1002	all	5_5	1	no	5000	5000	nav	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.6810639012797557	-1.8973010787393196	NA	NA	BOW	BOW	nobound	1002	all	5_5	1	no	5000	5000	all	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.1282833639648963	-0.6797731276054312	NA	NA	BOW	BOW	nobound	1002	all	5_5	1	no	FOC	517	nav	4_4	NA	358	spoor
spoor.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.22179735893206165	-0.8758899530554088	NA	NA	BOW	BOW	nobound	1002	all	5_5	1	no	FOC	1002	all	4_4	NA	358	spoor
spoor.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6803840455532418	0.7789857056867198	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	weight	5000	5000	nav	4_4	NA	305	spoor
spoor.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.7531505618942679	1.2849583498294714	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	weight	5000	5000	all	4_4	NA	305	spoor
spoor.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5474472528016501	0.7211949184988312	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	weight	FOC	176	nav	4_4	NA	305	spoor
spoor.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5655648145678404	0.708005908974056	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	weight	FOC	236	all	4_4	NA	305	spoor
spoor.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8090795044766457	0.7169554718266223	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	selection	5000	5000	nav	4_4	NA	305	spoor
spoor.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.9492962347901229	1.0581594700167607	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	selection	5000	5000	all	4_4	NA	305	spoor
spoor.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6713030554649835	0.6543537421682007	NA	NA	BOW	BOW	nobound	236	lex	3_3	1	selection	FOC	176	nav	4_4	NA	305	spoor
