	LEMMAPATH	LEMMAREL	base	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	model.x	model.y	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
huldigen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav			BOW		bound	200	lex	3_3	1	selection			5000	5000	nav	4_4		202	huldigen
huldigen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall			BOW		bound	200	lex	3_3	1	selection			5000	5000	all	4_4		202	huldigen
huldigen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		bound	200	lex	3_3	1	selection			FOC	126	nav	4_4		202	huldigen
huldigen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall			BOW		bound	200	lex	3_3	1	selection			FOC	200	all	4_4		202	huldigen
huldigen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav			BOW		bound	256	lex	3_3	1	no			5000	5000	nav	4_4		216	huldigen
huldigen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall			BOW		bound	256	lex	3_3	1	no			5000	5000	all	4_4		216	huldigen
huldigen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav			BOW		bound	256	lex	3_3	1	no			FOC	169	nav	4_4		216	huldigen
huldigen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall			BOW		bound	256	lex	3_3	1	no			FOC	256	all	4_4		216	huldigen
huldigen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav			BOW		bound	350	all	3_3	1	weight			5000	5000	nav	4_4		228	huldigen
huldigen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall			BOW		bound	350	all	3_3	1	weight			5000	5000	all	4_4		228	huldigen
huldigen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		bound	350	all	3_3	1	weight			FOC	126	nav	4_4		228	huldigen
huldigen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall			BOW		bound	350	all	3_3	1	weight			FOC	350	all	4_4		228	huldigen
huldigen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav			BOW		bound	350	all	3_3	1	selection			5000	5000	nav	4_4		228	huldigen
huldigen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall			BOW		bound	350	all	3_3	1	selection			5000	5000	all	4_4		228	huldigen
huldigen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		bound	350	all	3_3	1	selection			FOC	126	nav	4_4		228	huldigen
huldigen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall			BOW		bound	350	all	3_3	1	selection			FOC	350	all	4_4		228	huldigen
huldigen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav			BOW		bound	448	all	3_3	1	no			5000	5000	nav	4_4		230	huldigen
huldigen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall			BOW		bound	448	all	3_3	1	no			5000	5000	all	4_4		230	huldigen
huldigen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav			BOW		bound	448	all	3_3	1	no			FOC	169	nav	4_4		230	huldigen
huldigen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall			BOW		bound	448	all	3_3	1	no			FOC	448	all	4_4		230	huldigen
huldigen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav			BOW		nobound	414	lex	10_10	1	weight			5000	5000	nav	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall			BOW		nobound	414	lex	10_10	1	weight			5000	5000	all	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		nobound	414	lex	10_10	1	weight			FOC	269	nav	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall			BOW		nobound	414	lex	10_10	1	weight			FOC	414	all	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav			BOW		nobound	414	lex	10_10	1	selection			5000	5000	nav	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall			BOW		nobound	414	lex	10_10	1	selection			5000	5000	all	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		nobound	414	lex	10_10	1	selection			FOC	269	nav	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall			BOW		nobound	414	lex	10_10	1	selection			FOC	414	all	4_4		229	huldigen
huldigen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav			BOW		nobound	927	lex	10_10	1	no			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall			BOW		nobound	927	lex	10_10	1	no			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav			BOW		nobound	927	lex	10_10	1	no			FOC	659	nav	4_4		230	huldigen
huldigen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall			BOW		nobound	927	lex	10_10	1	no			FOC	927	all	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav			BOW		nobound	733	all	10_10	1	weight			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall			BOW		nobound	733	all	10_10	1	weight			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		nobound	733	all	10_10	1	weight			FOC	269	nav	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall			BOW		nobound	733	all	10_10	1	weight			FOC	733	all	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav			BOW		nobound	733	all	10_10	1	selection			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall			BOW		nobound	733	all	10_10	1	selection			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		nobound	733	all	10_10	1	selection			FOC	269	nav	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall			BOW		nobound	733	all	10_10	1	selection			FOC	733	all	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav			BOW		nobound	1478	all	10_10	1	no			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall			BOW		nobound	1478	all	10_10	1	no			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav			BOW		nobound	1478	all	10_10	1	no			FOC	659	nav	4_4		230	huldigen
huldigen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall			BOW		nobound	1478	all	10_10	1	no			FOC	1478	all	4_4		230	huldigen
huldigen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav			BOW		nobound	324	lex	5_5	1	weight			5000	5000	nav	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall			BOW		nobound	324	lex	5_5	1	weight			5000	5000	all	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		nobound	324	lex	5_5	1	weight			FOC	210	nav	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall			BOW		nobound	324	lex	5_5	1	weight			FOC	324	all	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav			BOW		nobound	324	lex	5_5	1	selection			5000	5000	nav	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall			BOW		nobound	324	lex	5_5	1	selection			5000	5000	all	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav			BOW		nobound	324	lex	5_5	1	selection			FOC	210	nav	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall			BOW		nobound	324	lex	5_5	1	selection			FOC	324	all	4_4		223	huldigen
huldigen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav			BOW		nobound	484	lex	5_5	1	no			5000	5000	nav	4_4		229	huldigen
huldigen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall			BOW		nobound	484	lex	5_5	1	no			5000	5000	all	4_4		229	huldigen
huldigen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav			BOW		nobound	484	lex	5_5	1	no			FOC	337	nav	4_4		229	huldigen
huldigen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall			BOW		nobound	484	lex	5_5	1	no			FOC	484	all	4_4		229	huldigen
huldigen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav			BOW		nobound	568	all	5_5	1	weight			5000	5000	nav	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall			BOW		nobound	568	all	5_5	1	weight			5000	5000	all	4_4		230	huldigen
huldigen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav			BOW		nobound	568	all	5_5	1	weight			FOC	210	nav	4_4		230	huldigen
