_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	stress	tokens	type
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.06700288399733584	-0.1305673681955845	NA	NA	BOW	bound	340	all	5_5	1	selection	FOC	340	all	4_4	NA	279	harden
harden.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.25876358870608734	0.3278876915846958	NA	NA	BOW	bound	504	all	5_5	1	no	5000	5000	nav	4_4	NA	279	harden
harden.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-0.9205125766319632	1.6010636240253235	NA	NA	BOW	bound	504	all	5_5	1	no	5000	5000	all	4_4	NA	279	harden
harden.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.49610591412878624	0.11112997975536552	NA	NA	BOW	bound	504	all	5_5	1	no	FOC	254	nav	4_4	NA	279	harden
harden.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.23389851214302812	-0.014494064248828252	NA	NA	BOW	bound	504	all	5_5	1	no	FOC	504	all	4_4	NA	279	harden
harden.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	0.7744127238408034	-0.2692129425862771	NA	NA	BOW	bound	176	lex	3_3	1	weight	5000	5000	nav	4_4	NA	271	harden
harden.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.9225882995032527	-0.4688485497356007	NA	NA	BOW	bound	176	lex	3_3	1	weight	5000	5000	all	4_4	NA	271	harden
harden.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.8017136710155478	-0.2974170042831224	NA	NA	BOW	bound	176	lex	3_3	1	weight	FOC	116	nav	4_4	NA	271	harden
harden.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.8095398187808645	-0.25945860197734416	NA	NA	BOW	bound	176	lex	3_3	1	weight	FOC	176	all	4_4	NA	271	harden
harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	0.7799104846163954	-0.2419873610736086	NA	NA	BOW	bound	176	lex	3_3	1	selection	5000	5000	nav	4_4	NA	271	harden
harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	1.0220754906698006	-0.39987726509377225	NA	NA	BOW	bound	176	lex	3_3	1	selection	5000	5000	all	4_4	NA	271	harden
harden.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.8698744858008594	-0.24895594941695	NA	NA	BOW	bound	176	lex	3_3	1	selection	FOC	116	nav	4_4	NA	271	harden
harden.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.7663996237889655	-0.19156385602064419	NA	NA	BOW	bound	176	lex	3_3	1	selection	FOC	176	all	4_4	NA	271	harden
harden.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	0.9221506586362785	-0.2637603108044527	NA	NA	BOW	bound	204	lex	3_3	1	no	5000	5000	nav	4_4	NA	275	harden
harden.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	1.226159963682501	-0.3806141283515786	NA	NA	BOW	bound	204	lex	3_3	1	no	5000	5000	all	4_4	NA	275	harden
