type	token_id	sense	confidence	annotator	annotations	annotators	agree_nr	agree_fct	left	target	right	comment	geen_reason	my_comment	comment_2	sense_2
heet	heet/adj/de_standaard_20000909_01_126/2949	geen	1	6_2	3	3	0.33	none	kreet doorboorde de stilte . Nong qua , nong qua ! ( Het is te	heet	, veel te heet ! ) Nick Ut was een van de mensen die naar	"Ik twijfel tussen ""(van dingen) zeer warm"" en ""van het weer) zeer warm""."	between	1;3	NA	between
gekleurd	gekleurd/adj/de_morgen_19990118_01_120/47	geen	3	7_1	3	3	0.33	none	trouwens in de hoogbeschaafde landen . De televisie die vierentwintig uur op vierentwintig uur haar	gekleurde	beelden in de huiskamers straalt . Is dat nu nodig ? Maar ja , als	Ik twijfel tussen de letterlijke betekenis en de betekenis van 'niet neutraal'	between	1;3	NA	between
heet	heet/adj/parool_19990709_77/169	heet_1	1	12_3	2	3	0.67	majority	. Tieners die kotsend over de reling hangen , worden hartstochtelijk toegejuicht . Op het	hete	strand volgt een estafette . Een jongen rent naar een meisje , maakt tien copulerende	"Kan eventueel in deze context ook in de figuurlijke zin met de betekenis ""sexueel hartstochtelijk, geil"" gebruikt worden."	between	1;4	NA	heet_1
grijs	grijs/adj/volkskrant_20020221_8/72	geen	0	11_3	3	3	0.33	none	Levenservaring is ook wat waard , toch ? Maar 's ochtends zie je in het	grijze	licht van de nieuwe dag hoe vlak naast je een eigenaardig behaard lichaam sluimert dat	ik twijfel tussen 1 en 4	between	1;4	NA	between
gemeen	gemeen/adj/algemeen_dagblad_19990429_70/209	geen	2	3_2	2	3	0.33	minority	"kritiek . 	 Zijn leraren , opvoeders en ouders uit de ex-DDR soms schuldig aan"	gemene	"overvallen op buitenlanders ? 	 , werpt het Saksische Dagblad verontwaardigd op . Eerder deze"	Volgens mij zijn hier meerdere betekenissen mogelijk, maar er is niet genoeg context om de juiste te vinden. Bedoelen ze collectieve overvallen of boosaardige? Of allebei?	between	1;4	NA	between
goedkoop	goedkoop/adj/volkskrant_20040623_55/244	geen	3	17_1	2	3	0.33	minority	baat bij een opmerking van een analist van Merrill Lynch die zei dat de Qlogic-stukken	goedkoop	waren . De schermenbeurs Nasdaq die 40 procent van zijn waarde haalt van computerbedrijven steeg	Er is te weinig context om te kunnen besluiten of het gaat over de prijs ervan of ook een kwalitatieve dimensie heeft en dus duidt op 'weinig waarde'	between	1;4	NA	between
hoekig	hoekig/adj/parool_20040113_58/312	geen	3	3_2	2	3	0.33	minority	in elk nummer herken je onbetwist Monk . Je herkent zijn schrille contrasten , zijn	hoekige	manier van improviseren en zijn ritmische patronen	Betreft het hier de persoon of de muziek die hij maakt? Afhankelijk daarvan is het betekenis 2 of 3.	between	2;3	NA	between
hoekig	hoekig/adj/volkskrant_19990528_103/846	geen	1	11_3	2	3	0.67	majority	er anders aan toe : hij zet de zaak graag op scherp met dwarse ,	hoekige	en heel persoonlijke lezingen . Hij laat je als luisteraar geen moment met rust en	ik twijfel tussen 2 en 3	between	2;3	NA	between
horde	horde/noun/de_standaard_19990826_01_74/364	geen	4	12_2	3	3	0.33	none	"viel in het tegenovergestelde euvel 	 , zucht hij . 	 Ik nam mijn tweede"	horde	veel vloeibaarder , akkoord . Té , waarschijnlijk . Het duurde twee , drie hindernissen	twijfel tussen de tweede en derde optie, te weinig context (niet zeker of het letterlijk of figuurlijk gebruikt is hier)	between	2;3	NA	between
herstructureren	herstructureer/verb/volkskrant_20010606_39/71	geen	4	5_3	3	3	0.33	none	Bertelsmann-topman Th. Middelhoff . Het memo markeert de ambities van Bertelsmann . Eerder dit jaar	herstructureerde	het bedrijf , onder meer bekend van de boekenclub ECI en muziekuitgever BMG , al	Doordat zin niet af is kunnen zowel optie 2 als 3 nog.	between	2;3	NA	between
herinneren	herinner/verb/algemeen_dagblad_20040503_129/244	geen	0	1_4	3	4	0.25	minority	"zelf de deurklink kon repareren . 	 Ik hoop niet dat ik nu zal worden"	herinnerd	"als de gozer die vast zat in het toilet 	 , zei het slachtoffer ."	Dat mensen hem zich herinneren? Of dat mensen plechtig aan hem gaan denken? Ik zou het in dit geval niet weten	between	2;3	NA	between
spoor	spoor/noun/algemeen_dagblad_20010830_152/910	geen	0	11_3	3	3	0.33	none	waren auteurs van Nederlandse musicals die , voordat Van den Ende zich aandiende , hun	sporen	hadden verdiend in het cabaret . In hun musicals lag de nadruk op taal en	twijfel tussen 1.2 en 1.4	between	2;4	NA	between
