batch	username	annotator	code
hemels_3	emma.thijs	ann_2	2_2
gemeen_3	emma.thijs	ann_2	2_2
stof_3	emma.thijs	ann_2	2_2
herinneren_2	emma.thijs	ann_2	2_2
diskwalificeren_2	emma.thijs	ann_2	2_2
herkennen_1	emma.thijs	ann_2	2_2
haken_3	emma.thijs	ann_2	2_2
horde_7	emma.thijs	ann_2	2_2
spoor_5	emma.thijs	ann_2	2_2
heilzaam_6	emma.thijs	ann_2	2_2
herroepen_1	emma.thijs	ann_2	2_2
goedkoop_5	kaat.valvekens	ann_3	2_3
hemels_3	kaat.valvekens	ann_3	2_3
gemeen_3	kaat.valvekens	ann_3	2_3
stof_3	kaat.valvekens	ann_3	2_3
herinneren_2	kaat.valvekens	ann_3	2_3
diskwalificeren_2	kaat.valvekens	ann_3	2_3
herkennen_1	kaat.valvekens	ann_3	2_3
haken_3	kaat.valvekens	ann_3	2_3
horde_7	kaat.valvekens	ann_3	2_3
spoor_5	kaat.valvekens	ann_3	2_3
heilzaam_6	kaat.valvekens	ann_3	2_3
herroepen_1	kaat.valvekens	ann_3	2_3
herstructureren_2	emma.thijs	ann_2	6_2
herhalen_6	emma.thijs	ann_2	6_2
gekleurd_4	emma.thijs	ann_2	6_2
herkennen_3	emma.thijs	ann_2	6_2
schaal_3	emma.thijs	ann_2	6_2
blik_2	emma.thijs	ann_2	6_2
grijs_1	emma.thijs	ann_2	6_2
hachelijk_3	emma.thijs	ann_2	6_2
hoop_6	emma.thijs	ann_2	6_2
hoopvol_3	emma.thijs	ann_2	6_2
diskwalificeren_1	emma.thijs	ann_2	6_2
heet_8	emma.thijs	ann_2	6_2
herstructureren_2	kaat.valvekens	ann_3	6_3
herhalen_6	kaat.valvekens	ann_3	6_3
gekleurd_4	kaat.valvekens	ann_3	6_3
herkennen_3	kaat.valvekens	ann_3	6_3
schaal_3	kaat.valvekens	ann_3	6_3
blik_2	kaat.valvekens	ann_3	6_3
grijs_1	kaat.valvekens	ann_3	6_3
hachelijk_3	kaat.valvekens	ann_3	6_3
hoop_6	kaat.valvekens	ann_3	6_3
hoopvol_3	kaat.valvekens	ann_3	6_3
diskwalificeren_1	kaat.valvekens	ann_3	6_3
heet_8	kaat.valvekens	ann_3	6_3
herstellen_1	marthe.greubel	ann_2	5_2
herstructureren_1	marthe.greubel	ann_2	5_2
