_id	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav.x	geestig.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav.y	geestig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall.y	geestig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.x	geestig.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall.y	geestig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall.x	geestig.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall.y
bitter/adj	-10.83971115252185	-8.416234882489173	-9.374235325873723	6.995573433827921	12.321062286327054	4.388173546040994	17.018339684688478	-2.2856147399320688	0	0	-12.699046651897689	9.897167320064293	-14.17932018166023	-12.880288003970161	10.60306511695142	12.293922847797798
bizar/adj	-4.6418724918995755	-1.4345861600736083	8.970898668019235	-0.22374909493361683	-5.694580057767723	-4.831214812744389	7.7987301955996085	-4.181300588810999	0	0	-3.9050952581034455	11.401494486746662	9.04869697254494	13.768914315507532	5.219388085084695	1.6144233698363155
blijk/verb	16.81763323763204	-18.3264840097495	-5.376187364915219	30.517696574638208	7.548007789840963	16.10603435465948	3.4940075984375154	25.35236686535915	0	0	-19.450234440933286	-11.506082113651585	-16.241458360672233	12.048440208754155	-4.352185178946145	22.521927420101555
bloes_DIM/noun	-28.973497954232943	-2.33016924427358	-18.390163257581843	21.81838484174405	-12.640475402022386	13.896591113441568	-16.03619835414072	-23.796594144384017	5.901851136703101	-1.6386606046841599	-30.105910340901293	22.070419865093466	14.010237489525029	10.538367743613776	-24.47211927791674	14.497243887826968
boek/noun	5.7529988698908	14.000694944691798	-0.4340974128094667	-17.483987059787736	-2.512096022730042	-15.765733914153044	-9.632108263458317	13.273424531155648	-0.977207281449419	4.903884958500493	21.51991103071437	1.8307027588547913	4.787870902757606	-1.0618006138300773	-13.549555700592219	-17.74931481461268
boorde_vol/prep	0.30059158696019694	2.8708522205958538	-2.8235897347043886	-4.781019845148074	0	0	0	0	0	0	4.615855153554337	0.9396617074583588	0	0	0	0
bovendien/adv	14.736703642821837	-19.691586828770337	-5.87327376886608	27.17004072262134	5.261016145690639	14.881966799917647	19.364992326189714	16.588723065772033	0	0	-17.36794194585032	-10.59864751463623	-14.35284355682641	10.97639516845134	-5.6136591319575375	25.764697004025397
breng/verb	-17.711742324987615	21.60684344718447	-16.31171971857495	-22.77559226993563	7.126374527814971	-3.9259184789031405	1.8940415980556258	18.046542819642696	0	0	4.602457056226579	-8.169812643887235	-7.92895369394361	8.176242862473098	-0.5750777453729932	-20.884373638947032
breng_teweeg/verb	26.305858007447377	1.3526619858105424	-21.273113283700937	3.7596913952524114	-11.93995333988933	4.313159427837012	9.02309832454926	-13.206991806943396	0	0	1.6905577542598313	-38.009277093106476	2.946107534829243	-17.184123921984558	18.69488624218097	-10.340005137997956
briljant/adj	0.8314392760794995	-3.1630728768595477	2.4630202495125397	1.2595452627742778	-3.1302756861729675	0.99904342548102	0.9729108497319122	-5.971570015813469	0	0	-0.30445645666995735	4.318672325510701	10.364771489603294	3.7160078575747457	-1.945509898541601	-3.0907993167492327
buitengewoon/adj	6.961251315247655	-11.259025270394952	-8.384342051828554	16.66360660785395	0.8303633162220787	9.609628829609255	-6.681076996924506	-13.181076809486067	-2.863110080529299	-2.545783797999417	-20.802387373760876	-0.6672386266237774	-16.229677201262163	15.190911561851813	-7.356545694637345	15.01485243513238
cabaretier/noun	-17.85016456141188	14.563988895362128	0	0	0	0	0	0	0	0	0	0	0	0	-7.366335808899532	-29.11271962894652
cast/noun	6.101882091340746	22.31398796985729	0	0	0	0	0	0	2.509458907429208	6.211038914760211	0	0	0	0	0	0
charmant/adj	4.449371431475314	-6.261232425322469	-11.670066226211185	14.900191921134104	-4.24244246086803	9.917401353835524	-3.664326085515837	-15.466809938726152	0	0	-21.7844734172421	5.413769168566307	16.973971910056793	3.025223392806656	-10.944094603297364	9.487120335564304
choreografie/noun	-9.427717362899525	9.721359688570487	0	0	0	0	-9.893123117503963	1.5687927451413646	0	0	9.541599595919786	-2.638930487131108	8.15760864772942	25.066121973600293	3.256136620572088	-13.015979767711682
clip/noun	-3.2275880208075587	25.568210862302934	0	0	0	0	0	0	0	0	0	0	0	0	0	0
column/noun	2.3589251182055064	15.693477921998108	-3.3554193274388484	-15.231100771572143	0.043936760061993874	-18.00863483129231	-9.189882164132063	16.29450475870369	-2.672345529663102	4.6530154516064	27.856569786949564	1.7499210995989034	9.308650200520791	-3.9794895166584783	-15.248465241987125	-19.128488046232274
combinatie/noun	-14.491748878250114	9.134903094785074	0	0	0	0	0	0	3.12259261971935	0.5853084124942476	0	0	0	0	0	0
comedy/noun	-17.740463066952	11.512923721332841	0	0	0	0	0	0	0	0	0	0	0	0	0	0
commentaar/noun	-10.569212771510106	-17.949189136976916	-14.66294612818547	4.553976615614141	-7.000237191968195	5.181177988768113	11.255135434006307	-16.81601952263315	-5.529053009635937	0.5803975906819305	-20.736888148291136	13.3463033242184	-6.282053063454202	-10.516652749940857	1.1813565589162272	9.380691523978683
compact/adj	-7.704708026833531	3.4133147991942763	0	0	0	0	0	0	0	0	0	0	0	0	-10.95151621057201	-5.151616733723114
componist/noun	8.75624501032954	24.271046679638154	0	0	0	0	-20.364689971504042	-1.7656338845649204	0	0	10.612703291928158	-18.816459373786117	11.59770568238075	-13.464298908975634	6.218116586086771	-27.145358325358384
contrasteer/adj	-9.034679423618288	4.859772506064283	-3.580564736605333	9.268987492582003	-14.44624495136958	5.80313961706752	2.7233816112636533	-11.942079953914632	5.924195288607466	-0.7031292868704495	-7.523241984053384	7.5154280304900665	-5.228366213698139	-19.755195452955597	-7.334748170551355	-4.548825932301392
cosmopolitisch/adj	-13.576232589268338	3.970428486857101	0	0	0	0	-3.608497403514377	-10.468244007051647	0	0	8.39068479252185	23.812618548513125	19.154596804673755	-9.42754551855336	-3.337741142679125	-15.185820806006971
creatie/noun	-7.747999479222812	9.603543808176859	0	0	0	0	-11.434500589573805	-0.8515661512086949	0	0	5.9645375427102145	2.94777114274788	14.816326555318774	-13.012969863833169	-3.4985331811854965	-11.333629777578302
creatief/adj	-11.73839898840164	1.6988064536944538	-1.9949384099761864	7.485364357035893	-2.662100898478016	4.273421847818224	-0.3262063294982489	-9.124312282463926	0	0	-6.3017670227177165	4.905704916713237	7.296371204190614	9.396385826012892	-5.581115349956021	0.5739480231387689
cynisme/noun	-15.498846762288816	-13.262713427823446	21.632849162529375	4.636496631337764	16.240020436470285	7.604290156990927	12.550455268792474	3.576160803294057	4.892350536716817	-7.324493145860359	-7.499719863092715	-2.460911971506955	16.252619942286533	23.529335091752326	12.298323504718624	12.353859440252133
daarbij/pp	17.56111897807579	-10.405859899238605	0	0	0	0	0	0	0	0	13.825550115947147	13.895292806049333	0	0	0	0
dan/comparative	7.363315529412545	-15.956294068490191	-6.544600453132271	23.053705224434758	0	0	0	0	0	0	-25.279514890848795	-2.1580432970565533	0	0	0	0
dandy/noun	-3.9475932550211055	-15.808873833102762	-10.012265084174087	9.93977030423949	-4.322139260908154	16.261068293285366	-23.936894273456897	-6.340194500885336	-4.891158884953584	5.908216284836466	-22.899758292498852	20.993216307010247	13.438500262180833	-30.96840962277718	-20.179471687799193	12.823472000496102
dankzij/prep	10.87406994400899	0.21432164837142245	-5.027092846103819	3.6740265020422807	0	0	0	0	0	0	-19.207989263115106	1.2734253469329986	0	0	0	0
dat/det	13.884635923127902	-22.617596429220225	-1.2683821226568333	27.826469399822756	0	0	0	0	-3.1543647878221965	-6.945674065166257	-21.415138859664633	-14.87651330547528	0	0	0	0
dat/pron	12.86843927027698	4.139061159243802	-12.160477017381359	-4.528591381631015	0	0	0	0	0	0	8.493074039375006	10.39728055769923	0	0	0	0
debuut/noun	4.092396174439288	23.03318379971319	4.115643129638102	-19.317968062212085	-11.331765142202785	-10.97926171716369	-11.252125404302518	9.17485366136149	0.53032614897257635	6.901918627077061	20.148473820956344	-2.229696062427486	4.511103841672372	8.951378548149057	5.208431355437445	-15.600526013785835
deel_uit/verb	-10.076118625108137	-20.413331594819383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
desinteresse/noun	-16.943277589686723	-14.75690227308484	23.041729773473495	5.469587301897243	17.50503651794947	8.038498135690565	13.044283423554539	5.165041032297774	0	0	-15.042387247494542	30.14283226042069	23.03816030002892	23.055452744032984	-29.60900749397586	5.359300961986025
detail/noun	6.470014765265172	5.091228824716779	2.9554122787685326	-8.882552745832932	3.1336899007003955	-5.111475696219227	-2.257143365518412	4.7125679625640045	-0.35822706901528917	2.8303710133851414	12.19948537610374	1.1175337512870513	-11.945797609839463	-14.211444642799588	9.153575147627155	-7.560753722382815
deze/det	0.3404203683161075	7.201765221751475	0.3060696987869422	-7.054505843809688	0	0	0	0	0	0	9.579916787324384	8.482165997216914	0	0	0	0
dialoog/noun	-7.594982945572426	-8.914413665447467	4.701712882551562	3.4925445239056163	-4.35923665420804	0.1346338052922831	2.1098939169639683	-0.33111639623132655	-3.1134356702647112	2.2463727677687717	0.120771004194931	-2.1831004168453294	17.64552860762561	0.24461069101351482	9.779112346518163	-2.321234786979684
die/pron	5.85433279025169	1.374189272142423	-5.7867192404720535	-5.273985729306517	0	0	0	0	0	0	10.00395441959435	15.141240798065924	0	0	0	0
dit/det	17.31159804994347	-14.229562504092607	-12.774770899086427	-3.552504075733555	0	0	0	0	0	0	22.583432083529097	22.42909695495895	0	0	0	0
