pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
3.4020233	1			820	Aboutaleb/name
8.294938	1	9.211629	1.0	6	Abyssova/name
5.6387663	1			87	Achim/name
2.8370917	1			1454	Acht/name
2.3454463	1	3.2499259	1.0	2367	Adelmund/name
3.3979692	1	4.2863398	1.0	851	Admirals/name
5.1436276	1			150	Adne/name
2.3764923	1	3.282317	1.0	2270	Adolf/name
3.4283013	2	3.6422513	1.0	1600	Adri/name
2.1007707	1			3017	Adriaan/name
1.2463127	1	2.1550944	1.0	7021	Adriaanse/name
7.4494276	2			30	Aegir/name
7.0760765	1			21	Afrekenen/name
1.8156222	1	2.7243888	1.0	3963	Afrikaan/noun
3.0852242	1			1112	Agentschap/name
1.8112192	1			4007	Ahmed/name
6.340729	1			43	Aiduna/name
5.8446517	1			70	Ainslie/name
6.486649	2			74	Aitnafa/name
1.0145622	1			8894	Albanees/adj
3.6566556	1	4.5628405	1.0	631	Alec/name
1.6430055	2			9460	Alexander/name
0.8137768	1			10850	Ali/name
5.979108	1			62	Alleen/name
3.29812	1			912	Alonso/name
3.7438722	1			578	Alpe/name
6.7982955	1			27	Alsgaard/name
1.6836029	1	2.5865128	1.0	4566	America/name
0.863984	1			10372	American/name
0.05946914	2	0.9684368	2.0	45923	Amerika/name
1.7344397	13	2.2754211	9.0	56013	Amerikaan/noun
0.24752183	12	-0.23550259	3.0	231449	Amerikaans/adj
5.0487714	2	5.949933	2.0	317	Amerikaans/name
5.3042183	1			121	Amerikaans_Europees/adj
-0.39033446	4	0.22222272	3.0	146502	Amsterdam/name
0.9478907	1			9563	Amsterdammer/noun
0.0028402966	2			49844	Amsterdams/adj
7.917644	1			10	Anabolica/noun
1.764194	1			4192	Andrew/name
0.96095145	1	1.8675964	1.0	9344	Angeles/name
6.0595617	1			57	Angelis/name
2.5026107	1			2007	Angelo/name
2.562946	1			1867	Angelsaksisch/adj
3.4883587	2	3.7016504	1.0	1497	Anker/name
4.4440813	1			291	Annamarie/name
2.1177723	1			2991	Annelies/name
3.9346032	1			491	Anni/name
2.7030497	1	3.60736	1.0	1660	Anouk/name
7.4548087	1			14	Antidoping/name
3.6677618	1	4.578722	1.0	621	Antje/name
3.8193073	1			537	Antoinette/name
2.5392926	3			5835	Anton/name
1.8355292	1			3918	Antwerpenaar/noun
